variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,touch_gap,provisional_sessions,bench_ret,excess_ret
base,FDX,2017-02-24,2017-03-03,hold_days,0.006421537676155609,0.005421537676155609,32,1,0.00442572636272609,0.0009958113134295185
gap60,FDX,2017-02-24,2017-03-03,hold_days,0.006421537676155609,0.005421537676155609,32,1,0.00442572636272609,0.0009958113134295185
base,FDX,2017-04-21,2017-04-28,hold_days,0.023855770239003204,0.022855770239003204,52,2,0.029223699892419353,-0.006367929653416149
gap60,FDX,2017-04-21,2017-04-28,hold_days,0.023855770239003204,0.022855770239003204,52,2,0.029223699892419353,-0.006367929653416149
conf2,FDX,2017-04-21,2017-04-28,hold_days,0.023855770239003204,0.022855770239003204,52,2,0.029223699892419353,-0.006367929653416149
gap60+conf2,FDX,2017-04-21,2017-04-28,hold_days,0.023855770239003204,0.022855770239003204,52,2,0.029223699892419353,-0.006367929653416149
base,FDX,2017-11-17,2017-11-27,hold_days,0.008657569041237823,0.0076575690412378225,93,2,0.014643276820274664,-0.006985707779036842
conf2,FDX,2017-11-17,2017-11-27,hold_days,0.008657569041237823,0.0076575690412378225,93,2,0.014643276820274664,-0.006985707779036842
base,FDX,2018-10-26,2018-11-02,hold_days,0.05286584549498885,0.05186584549498885,284,2,0.022648796663632842,0.029217048831356007
conf2,FDX,2018-10-26,2018-11-02,hold_days,0.05286584549498885,0.05186584549498885,284,2,0.022648796663632842,0.029217048831356007
base,FDX,2020-03-02,2020-03-09,hold_days,-0.16793070105346752,-0.16893070105346752,1001,2,-0.09411554343183193,-0.0748151576216356
conf2,FDX,2020-03-02,2020-03-09,hold_days,-0.16793070105346752,-0.16893070105346752,1001,2,-0.09411554343183193,-0.0748151576216356
base,FDX,2020-07-31,2020-08-07,hold_days,0.08984591322401392,0.08884591322401392,8,3,0.032779761840295185,0.05606615138371873
gap60,FDX,2020-07-31,2020-08-05,resistance,0.01959612065747751,0.01859612065747751,8,3,0.016000725221150036,0.0025953954363274745
conf2,FDX,2020-07-31,2020-08-07,hold_days,0.08984591322401392,0.08884591322401392,8,3,0.032779761840295185,0.05606615138371873
gap60+conf2,FDX,2020-07-31,2020-08-05,resistance,0.01959612065747751,0.01859612065747751,8,3,0.016000725221150036,0.0025953954363274745
base,FDX,2021-03-08,2021-03-15,hold_days,0.06182855121615227,0.06082855121615227,106,2,0.031324018976449874,0.029504532239702397
conf2,FDX,2021-03-08,2021-03-15,hold_days,0.06182855121615227,0.06082855121615227,106,2,0.031324018976449874,0.029504532239702397
base,FDX,2021-06-14,2021-06-21,hold_days,0.0005802308228721742,-0.0004197691771278258,39,2,0.005460581956697741,-0.005880351133825567
gap60,FDX,2021-06-14,2021-06-21,hold_days,0.0005802308228721742,-0.0004197691771278258,39,2,0.005460581956697741,-0.005880351133825567
conf2,FDX,2021-06-14,2021-06-21,hold_days,0.0005802308228721742,-0.0004197691771278258,39,2,0.005460581956697741,-0.005880351133825567
gap60+conf2,FDX,2021-06-14,2021-06-21,hold_days,0.0005802308228721742,-0.0004197691771278258,39,2,0.005460581956697741,-0.005880351133825567
base,FDX,2021-07-09,2021-07-16,hold_days,-0.01319162186410383,-0.014191621864103832,39,1,0.00781657090714405,-0.02200819277124788
gap60,FDX,2021-07-09,2021-07-16,hold_days,-0.01319162186410383,-0.014191621864103832,39,1,0.00781657090714405,-0.02200819277124788
base,FDX,2021-09-17,2021-09-24,hold_days,-0.11198163305649711,-0.11298163305649711,167,3,-0.016251144036771192,-0.09673048901972592
conf2,FDX,2021-09-17,2021-09-24,hold_days,-0.11198163305649711,-0.11298163305649711,167,3,-0.016251144036771192,-0.09673048901972592
gap60,FDX,2023-08-31,2023-09-08,hold_days,-0.024741006907385787,-0.02574100690738579,25,3,-0.024697616457358573,-0.001043390450027215
gap60+conf2,FDX,2023-08-31,2023-09-08,hold_days,-0.024741006907385787,-0.02574100690738579,25,3,-0.024697616457358573,-0.001043390450027215
gap60,FDX,2024-02-06,2024-02-13,hold_days,-0.020429426435859432,-0.021429426435859433,58,1,-0.014508921773664696,-0.0069205046621947375
gap60+conf2,FDX,2024-02-07,2024-02-14,hold_days,-0.021888942371716236,-0.022888942371716237,58,2,-0.012013592867468392,-0.010875349504247844
base,FDX,2024-06-18,2024-06-26,hold_days,0.20041180480346354,0.19941180480346354,187,2,0.0356911865296361,0.16372061827382745
conf2,FDX,2024-06-18,2024-06-26,hold_days,0.20041180480346354,0.19941180480346354,187,2,0.0356911865296361,0.16372061827382745
base,FDX,2024-12-24,2025-01-02,hold_days,0.008975930400267229,0.007975930400267228,184,1,-0.01716462653645867,0.0251405569367259
base,FDX,2026-01-23,2026-01-30,hold_days,0.059301075350082,0.058301075350082,379,3,-0.01350633522259459,0.07180741057267659
conf2,FDX,2026-01-23,2026-01-30,hold_days,0.059301075350082,0.058301075350082,379,3,-0.01350633522259459,0.07180741057267659
base,FDX,2026-06-04,2026-06-11,hold_days,0.030487717981037665,0.029487717981037664,23,1,0.00020006047076659428,0.02928765751027107
gap60,FDX,2026-06-04,2026-06-11,hold_days,0.030487717981037665,0.029487717981037664,23,1,0.00020006047076659428,0.02928765751027107
base,TMO,2017-06-29,2017-07-07,hold_days,0.02070262641028453,0.01970262641028453,10,3,0.015848632122636985,0.003853994287647544
gap60,TMO,2017-06-29,2017-07-07,hold_days,0.02070262641028453,0.01970262641028453,10,3,0.015848632122636985,0.003853994287647544
conf2,TMO,2017-06-29,2017-07-07,hold_days,0.02070262641028453,0.01970262641028453,10,3,0.015848632122636985,0.003853994287647544
gap60+conf2,TMO,2017-06-29,2017-07-07,hold_days,0.02070262641028453,0.01970262641028453,10,3,0.015848632122636985,0.003853994287647544
base,TMO,2017-11-13,2017-11-20,hold_days,0.014824043788139063,0.013824043788139062,31,1,-0.0030201824576558955,0.016844226245794958
gap60,TMO,2017-11-13,2017-11-20,hold_days,0.014824043788139063,0.013824043788139062,31,1,-0.0030201824576558955,0.016844226245794958
base,TMO,2017-12-06,2017-12-13,hold_days,0.04133351116748574,0.040333511167485736,94,2,0.014139836435889341,0.026193674731596395
conf2,TMO,2017-12-06,2017-12-13,hold_days,0.04133351116748574,0.040333511167485736,94,2,0.014139836435889341,0.026193674731596395
base,TMO,2018-03-27,2018-04-04,hold_days,0.013067511508373375,0.012067511508373374,16,2,0.015095255229598648,-0.0030277437212252734
gap60,TMO,2018-03-27,2018-04-04,hold_days,0.013067511508373375,0.012067511508373374,16,2,0.015095255229598648,-0.0030277437212252734
conf2,TMO,2018-03-27,2018-04-04,hold_days,0.013067511508373375,0.012067511508373374,16,2,0.015095255229598648,-0.0030277437212252734
gap60+conf2,TMO,2018-03-27,2018-04-04,hold_days,0.013067511508373375,0.012067511508373374,16,2,0.015095255229598648,-0.0030277437212252734
base,TMO,2020-12-17,2020-12-24,hold_days,-0.014733227711579144,-0.015733227711579145,41,1,-0.020267819890750882,0.004534592179171737
gap60,TMO,2020-12-17,2020-12-24,hold_days,-0.014733227711579144,-0.015733227711579145,41,1,-0.020267819890750882,0.004534592179171737
base,TMO,2021-05-03,2021-05-10,hold_days,-0.008365967916941663,-0.009365967916941664,41,2,0.0020539632569716026,-0.011419931173913267
gap60,TMO,2021-05-03,2021-05-10,hold_days,-0.008365967916941663,-0.009365967916941664,41,2,0.0020539632569716026,-0.011419931173913267
conf2,TMO,2021-05-03,2021-05-10,hold_days,-0.008365967916941663,-0.009365967916941664,41,2,0.0020539632569716026,-0.011419931173913267
gap60+conf2,TMO,2021-05-03,2021-05-10,hold_days,-0.008365967916941663,-0.009365967916941664,41,2,0.0020539632569716026,-0.011419931173913267
base,TMO,2021-10-06,2021-10-13,hold_days,-0.0035443138185429213,-0.004544313818542921,18,2,0.010258135409803693,-0.014802449228346615
gap60,TMO,2021-10-06,2021-10-13,hold_days,-0.0035443138185429213,-0.004544313818542921,18,2,0.010258135409803693,-0.014802449228346615
conf2,TMO,2021-10-06,2021-10-13,hold_days,-0.0035443138185429213,-0.004544313818542921,18,2,0.010258135409803693,-0.014802449228346615
gap60+conf2,TMO,2021-10-06,2021-10-13,hold_days,-0.0035443138185429213,-0.004544313818542921,18,2,0.010258135409803693,-0.014802449228346615
base,TMO,2022-10-14,2022-10-21,hold_days,-0.012543447449158807,-0.013543447449158807,80,2,0.0267800100174449,-0.04032345746660371
conf2,TMO,2022-10-14,2022-10-21,hold_days,-0.012543447449158807,-0.013543447449158807,80,2,0.0267800100174449,-0.04032345746660371
base,TMO,2023-03-17,2023-03-24,resistance,0.019950942892046797,0.018950942892046796,132,2,0.011876233900922628,0.007074708991124168
conf2,TMO,2023-03-17,2023-03-24,resistance,0.019950942892046797,0.018950942892046796,132,2,0.011876233900922628,0.007074708991124168
base,TMO,2023-10-04,2023-10-11,hold_days,-0.01954433232209185,-0.02054433232209185,323,2,0.01147612309266477,-0.03202045541475662
conf2,TMO,2023-10-04,2023-10-11,hold_days,-0.01954433232209185,-0.02054433232209185,323,2,0.01147612309266477,-0.03202045541475662
base,TMO,2024-01-05,2024-01-12,hold_days,0.024640894187703433,0.023640894187703432,92,2,0.016252710351742472,0.00738818383596096
conf2,TMO,2024-01-05,2024-01-12,hold_days,0.024640894187703433,0.023640894187703432,92,2,0.016252710351742472,0.00738818383596096
gap60,TMO,2024-09-19,2024-09-26,hold_days,-0.001483303275168879,-0.002483303275168879,20,1,-0.03350448989579946,0.03102118662063058
base,TMO,2024-09-20,2024-09-27,hold_days,0.001189571791213373,0.00018957179121337295,614,2,0.0012569826196791034,-0.0010674108284657305
conf2,TMO,2024-09-20,2024-09-27,hold_days,0.001189571791213373,0.00018957179121337295,614,2,0.0012569826196791034,-0.0010674108284657305
base,TMO,2025-07-09,2025-07-16,hold_days,-0.008502461390592075,-0.009502461390592076,60,2,-0.006025784028926062,-0.003476677361666014
gap60,TMO,2025-07-09,2025-07-16,hold_days,-0.008502461390592075,-0.009502461390592076,60,2,-0.006025784028926062,-0.003476677361666014
conf2,TMO,2025-07-09,2025-07-16,hold_days,-0.008502461390592075,-0.009502461390592076,60,2,-0.006025784028926062,-0.003476677361666014
gap60+conf2,TMO,2025-07-09,2025-07-16,hold_days,-0.008502461390592075,-0.009502461390592076,60,2,-0.006025784028926062,-0.003476677361666014
base,TMO,2026-05-01,2026-05-08,hold_days,-0.008972490850872705,-0.009972490850872706,612,2,-0.011530675653265599,0.0015581848023928924
conf2,TMO,2026-05-01,2026-05-08,hold_days,-0.008972490850872705,-0.009972490850872706,612,2,-0.011530675653265599,0.0015581848023928924
gap60,TMO,2026-06-16,2026-06-24,hold_days,0.041406622872946164,0.04040662287294616,31,2,-0.03282400291640253,0.07323062578934869
gap60+conf2,TMO,2026-06-16,2026-06-24,hold_days,0.041406622872946164,0.04040662287294616,31,2,-0.03282400291640253,0.07323062578934869
gap60,TMO,2026-09-02,2026-09-10,hold_days,-0.008807968696785795,-0.009807968696785796,15,1,-0.015192273280159374,0.005384304583373578
base,MSFT,2016-09-13,2016-09-20,hold_days,0.004953421227979815,0.003953421227979815,32,2,0.017731373282496854,-0.01377795205451704
gap60,MSFT,2016-09-13,2016-09-20,hold_days,0.004953421227979815,0.003953421227979815,32,2,0.017731373282496854,-0.01377795205451704
conf2,MSFT,2016-09-13,2016-09-20,hold_days,0.004953421227979815,0.003953421227979815,32,2,0.017731373282496854,-0.01377795205451704
gap60+conf2,MSFT,2016-09-13,2016-09-20,hold_days,0.004953421227979815,0.003953421227979815,32,2,0.017731373282496854,-0.01377795205451704
base,MSFT,2016-09-29,2016-10-06,hold_days,0.0059236746481499125,0.0049236746481499125,10,3,-0.001502193966608334,0.006425868614758246
gap60,MSFT,2016-09-29,2016-10-06,hold_days,0.0059236746481499125,0.0049236746481499125,10,3,-0.001502193966608334,0.006425868614758246
conf2,MSFT,2016-09-29,2016-10-06,hold_days,0.0059236746481499125,0.0049236746481499125,10,3,-0.001502193966608334,0.006425868614758246
gap60+conf2,MSFT,2016-09-29,2016-10-06,hold_days,0.0059236746481499125,0.0049236746481499125,10,3,-0.001502193966608334,0.006425868614758246
base,MSFT,2018-12-18,2018-12-26,hold_days,-0.03279767732085592,-0.03379767732085592,104,1,-0.06296214857865456,0.02916447125779864
conf2,MSFT,2018-12-19,2018-12-27,hold_days,-0.02420695725366684,-0.02520695725366684,104,2,-0.018776412187232805,-0.006430545066434035
base,MSFT,2019-08-02,2019-08-09,hold_days,0.005916589034329789,0.004916589034329789,10,2,0.003797867577910674,0.0011187214564191148
gap60,MSFT,2019-08-02,2019-08-09,hold_days,0.005916589034329789,0.004916589034329789,10,2,0.003797867577910674,0.0011187214564191148
conf2,MSFT,2019-08-02,2019-08-09,hold_days,0.005916589034329789,0.004916589034329789,10,2,0.003797867577910674,0.0011187214564191148
gap60+conf2,MSFT,2019-08-02,2019-08-09,hold_days,0.005916589034329789,0.004916589034329789,10,2,0.003797867577910674,0.0011187214564191148
base,MSFT,2019-09-13,2019-09-20,hold_days,0.015437884545275615,0.014437884545275614,38,3,-0.03221754124790954,0.04665542579318516
gap60,MSFT,2019-09-13,2019-09-20,hold_days,0.015437884545275615,0.014437884545275614,38,3,-0.03221754124790954,0.04665542579318516
conf2,MSFT,2019-09-13,2019-09-20,hold_days,0.015437884545275615,0.014437884545275614,38,3,-0.03221754124790954,0.04665542579318516
gap60+conf2,MSFT,2019-09-13,2019-09-20,hold_days,0.015437884545275615,0.014437884545275614,38,3,-0.03221754124790954,0.04665542579318516
base,MSFT,2019-09-27,2019-10-04,hold_days,0.0028316195513591325,0.0018316195513591324,64,3,0.0010877881027200331,0.0007438314486390993
conf2,MSFT,2019-09-27,2019-10-04,hold_days,0.0028316195513591325,0.0018316195513591324,64,3,0.0010877881027200331,0.0007438314486390993
base,MSFT,2020-07-27,2020-08-03,hold_days,0.06225146501511092,0.06125146501511092,22,1,0.011814478352184077,0.04943698666292684
gap60,MSFT,2020-07-27,2020-08-03,hold_days,0.06225146501511092,0.06125146501511092,22,1,0.011814478352184077,0.04943698666292684
conf2,MSFT,2020-07-28,2020-08-04,hold_days,0.05578667267067816,0.05478667267067816,22,2,0.018221812955100614,0.03656485971557755
