variant,stock,entry_date,exit_date,ret,ret_net,drop_a,drop_b,bench_ret,excess_ret
hold,NVDA,2016-09-14,2016-09-21,0.07384122833424867,0.07284122833424866,0.059200543866890026,0.014591550095643252,0.02956682387995757,0.04327440445429109
within,NVDA,2016-09-14,2016-09-21,0.07384122833424867,0.07284122833424866,0.059200543866890026,0.014591550095643252,0.02956682387995757,0.04327440445429109
hold,NVDA,2017-08-30,2017-09-07,0.005432290549486574,0.004432290549486574,0.026754449148130018,0.001637701720618763,0.004804057898089464,-0.00037176734860289076
within,NVDA,2017-08-30,2017-09-07,0.005432290549486574,0.004432290549486574,0.026754449148130018,0.001637701720618763,0.004804057898089464,-0.00037176734860289076
within,NVDA,2018-04-05,2018-04-12,0.05971630274771056,0.05871630274771056,0.12363393566755404,0.04657972161756823,0.009041528135165233,0.049674774612545325
hold,NVDA,2018-11-23,2018-11-30,0.12823132612859722,0.12723132612859722,0.39033146523394874,0.029751388514465318,0.06921272149528646,0.058018604633310766
within,NVDA,2018-11-23,2018-11-30,0.12823132612859722,0.12723132612859722,0.39033146523394874,0.029751388514465318,0.06921272149528646,0.058018604633310766
within,NVDA,2018-12-06,2018-12-13,-0.05938468059037638,-0.06038468059037638,0.2506605712673196,0.07908735884088931,-0.018981440662228954,-0.04140323992814743
hold,NVDA,2018-12-12,2018-12-19,-0.06977851329893847,-0.07077851329893847,0.1414599557030982,0.02446376353294565,-0.05709711930085348,-0.01368139399808499
hold,NVDA,2019-05-16,2019-05-23,-0.08034208749691252,-0.08134208749691252,0.14508495378492856,0.01529777053302546,-0.018255454110917668,-0.06308663338599485
within,NVDA,2019-05-16,2019-05-23,-0.08034208749691252,-0.08134208749691252,0.14508495378492856,0.01529777053302546,-0.018255454110917668,-0.06308663338599485
within,NVDA,2019-09-30,2019-10-07,0.05894189340857747,0.05794189340857747,0.06615652118308149,0.03697647082892299,0.002984375533948036,0.054957517874629436
within,NVDA,2021-09-14,2021-09-21,-0.044780233173282724,-0.045780233173282725,0.029589041398794286,0.014609321345044115,-0.029724368120737865,-0.01605586505254486
hold,NVDA,2024-10-29,2024-11-05,-0.00948680854419337,-0.010486808544193371,0.029302806463970786,0.007232553619660598,0.016456985153060932,-0.026943793697254304
within,NVDA,2024-10-29,2024-11-05,-0.00948680854419337,-0.010486808544193371,0.029302806463970786,0.007232553619660598,0.016456985153060932,-0.026943793697254304
hold,NVDA,2024-11-14,2024-11-21,-0.0006133028228296755,-0.0016133028228296755,0.024615636476886308,0.013715644850697224,0.0017306365231652965,-0.003343939345994972
within,NVDA,2024-11-14,2024-11-21,-0.0006133028228296755,-0.0016133028228296755,0.024615636476886308,0.013715644850697224,0.0017306365231652965,-0.003343939345994972
within,NVDA,2025-11-26,2025-12-04,0.017365047576710646,0.016365047576710645,0.10684087382297977,0.02625227148762312,0.02322789998126895,-0.006862852404558306
hold,NVDA,2026-01-07,2026-01-14,-0.03156896554512967,-0.03256896554512967,0.02137846347126943,0.008561861939891285,0.014771956941552089,-0.04734092248668176
within,NVDA,2026-01-07,2026-01-14,-0.03156896554512967,-0.03256896554512967,0.02137846347126943,0.008561861939891285,0.014771956941552089,-0.04734092248668176
hold,CSCO,2016-09-15,2016-09-22,0.011178724492640013,0.010178724492640012,0.0325281996689907,0.014093852193741117,0.015007048202247963,-0.004828323709607951
within,CSCO,2016-09-15,2016-09-22,0.011178724492640013,0.010178724492640012,0.0325281996689907,0.014093852193741117,0.015007048202247963,-0.004828323709607951
hold,CSCO,2016-10-26,2016-11-02,-0.005237273461320191,-0.006237273461320191,0.04284971192063698,0.003947488358431693,-0.006013356275004655,-0.0002239171863155356
within,CSCO,2016-10-26,2016-11-02,-0.005237273461320191,-0.006237273461320191,0.04284971192063698,0.003947488358431693,-0.006013356275004655,-0.0002239171863155356
hold,CSCO,2017-01-05,2017-01-12,-0.004309138254335543,-0.005309138254335543,0.017385986892317806,0.005962081518269908,0.0066430830254573525,-0.011952221279792896
within,CSCO,2017-01-05,2017-01-12,-0.004309138254335543,-0.005309138254335543,0.017385986892317806,0.005962081518269908,0.0066430830254573525,-0.011952221279792896
hold,CSCO,2017-04-20,2017-04-27,0.02802317614034333,0.02702317614034333,0.03301159689362875,0.0006121457254227681,0.02750358910853934,-0.000480412968196009
within,CSCO,2017-04-20,2017-04-27,0.02802317614034333,0.02702317614034333,0.03301159689362875,0.0006121457254227681,0.02750358910853934,-0.000480412968196009
hold,CSCO,2017-06-01,2017-06-08,-0.006599408370663418,-0.007599408370663418,0.08706440698327664,0.00474609729712129,0.011062722252171975,-0.018662130622835393
within,CSCO,2017-06-01,2017-06-08,-0.006599408370663418,-0.007599408370663418,0.08706440698327664,0.00474609729712129,0.011062722252171975,-0.018662130622835393
hold,CSCO,2017-08-04,2017-08-11,-0.010377324071556338,-0.011377324071556338,0.021079539390236608,0.004115929498371931,-0.011899892105816545,0.0005225680342602068
within,CSCO,2017-08-04,2017-08-11,-0.010377324071556338,-0.011377324071556338,0.021079539390236608,0.004115929498371931,-0.011899892105816545,0.0005225680342602068
hold,CSCO,2017-11-03,2017-11-10,-0.013925181100582384,-0.014925181100582385,0.01573899414071543,0.011913408646011477,0.004389795212607961,-0.019314976313190346
within,CSCO,2017-11-03,2017-11-10,-0.013925181100582384,-0.014925181100582385,0.01573899414071543,0.011913408646011477,0.004389795212607961,-0.019314976313190346
hold,CSCO,2018-09-18,2018-09-25,0.021281063557304414,0.020281063557304413,0.018593686470164277,0.006136899747195576,-0.0017781970086730992,0.022059260565977512
within,CSCO,2018-09-18,2018-09-25,0.021281063557304414,0.020281063557304413,0.018593686470164277,0.006136899747195576,-0.0017781970086730992,0.022059260565977512
hold,CSCO,2019-03-28,2019-04-04,0.03990125713069004,0.03890125713069004,0.022688037913037053,0.00169225215700089,0.021071778267084174,0.017829478863605863
within,CSCO,2019-03-28,2019-04-04,0.03990125713069004,0.03890125713069004,0.022688037913037053,0.00169225215700089,0.021071778267084174,0.017829478863605863
hold,CSCO,2019-08-28,2019-09-05,0.033070239288050196,0.032070239288050195,0.12317988596271474,0.006603346048973004,0.04063939307075182,-0.008569153782701622
within,CSCO,2019-08-28,2019-09-05,0.033070239288050196,0.032070239288050195,0.12317988596271474,0.006603346048973004,0.04063939307075182,-0.008569153782701622
hold,CSCO,2020-05-07,2020-05-14,0.05994692485410291,0.05894692485410291,0.057457018802575754,0.007505273803284786,0.01865191377772879,0.04029501107637412
within,CSCO,2020-05-07,2020-05-14,0.05994692485410291,0.05894692485410291,0.057457018802575754,0.007505273803284786,0.01865191377772879,0.04029501107637412
within,CSCO,2020-07-29,2020-08-05,0.013273216645011576,0.012273216645011575,0.021533641996276186,0.01947200748618653,0.008365427537088355,0.003907789107923221
hold,CSCO,2021-10-05,2021-10-12,-0.00749688655589742,-0.00849688655589742,0.051908789168835005,0.009908524135725726,0.002584760994058577,-0.011081647549955997
within,CSCO,2021-10-05,2021-10-12,-0.00749688655589742,-0.00849688655589742,0.051908789168835005,0.009908524135725726,0.002584760994058577,-0.011081647549955997
hold,CSCO,2021-12-01,2021-12-08,0.03616196019839668,0.03516196019839668,0.046461885203885084,0.016636746623470464,0.0314568060557221,0.0037051541426745827
within,CSCO,2021-12-01,2021-12-08,0.03616196019839668,0.03516196019839668,0.046461885203885084,0.016636746623470464,0.0314568060557221,0.0037051541426745827
hold,CSCO,2022-06-06,2022-06-13,-0.0461062484071566,-0.0471062484071566,0.11617873285852369,0.011863197770918,-0.10236744525479258,0.055261196847635974
within,CSCO,2022-06-06,2022-06-13,-0.0461062484071566,-0.0471062484071566,0.11617873285852369,0.011863197770918,-0.10236744525479258,0.055261196847635974
hold,CSCO,2022-08-08,2022-08-15,0.03487330513166387,0.03387330513166387,0.015463246048846361,0.015432470036652088,0.040205303705241,-0.006331998573577136
within,CSCO,2022-08-08,2022-08-15,0.03487330513166387,0.03387330513166387,0.015463246048846361,0.015432470036652088,0.040205303705241,-0.006331998573577136
within,CSCO,2022-09-07,2022-09-14,-0.023545088335520825,-0.024545088335520826,0.0989221882619143,0.01827142941692865,-0.0210855098455901,-0.003459578489930726
hold,CSCO,2023-04-18,2023-04-25,-0.06400315687648506,-0.06500315687648506,0.035483482368827604,0.010288980113862247,-0.02446507301710077,-0.04053808385938429
within,CSCO,2023-04-18,2023-04-25,-0.06400315687648506,-0.06500315687648506,0.035483482368827604,0.010288980113862247,-0.02446507301710077,-0.04053808385938429
within,CSCO,2023-07-17,2023-07-24,0.04526658846483733,0.04426658846483733,0.026834225127184922,0.022570009443583,0.010904006208970918,0.03336258225586641
hold,CSCO,2023-11-22,2023-11-30,0.0062395752361965595,0.0052395752361965595,0.10956019030790005,0.009784758599120666,0.008296301913665038,-0.003056726677468479
within,CSCO,2023-11-22,2023-11-30,0.0062395752361965595,0.0052395752361965595,0.10956019030790005,0.009784758599120666,0.008296301913665038,-0.003056726677468479
hold,CSCO,2024-02-09,2024-02-16,-0.03371249579171942,-0.03471249579171942,0.05539535870878332,0.004210515022777166,0.004291483385106654,-0.039003979176826076
within,CSCO,2024-02-09,2024-02-16,-0.03371249579171942,-0.03471249579171942,0.05539535870878332,0.004210515022777166,0.004291483385106654,-0.039003979176826076
hold,CSCO,2024-03-20,2024-03-27,0.004439909635475692,0.0034399096354756917,0.026022773078336225,0.0026419196958899884,0.0037563005775289593,-0.0003163909420532676
within,CSCO,2024-03-20,2024-03-27,0.004439909635475692,0.0034399096354756917,0.026022773078336225,0.0026419196958899884,0.0037563005775289593,-0.0003163909420532676
hold,CSCO,2024-04-12,2024-04-19,-0.0035059525057637986,-0.004505952505763799,0.031195881526965074,0.006405411799116307,-0.028198505860057566,0.023692553354293766
within,CSCO,2024-04-12,2024-04-19,-0.0035059525057637986,-0.004505952505763799,0.031195881526965074,0.006405411799116307,-0.028198505860057566,0.023692553354293766
hold,CSCO,2024-04-23,2024-04-30,-0.027731887374387254,-0.028731887374387255,0.04540642971598938,0.0037320733638698898,-0.0019438015891225513,-0.026788085785264704
within,CSCO,2024-04-23,2024-04-30,-0.027731887374387254,-0.028731887374387255,0.04540642971598938,0.0037320733638698898,-0.0019438015891225513,-0.026788085785264704
hold,CSCO,2024-05-07,2024-05-14,0.035321445593129,0.034321445593128996,0.03279677411003608,0.00021220584457524303,0.019352273610993675,0.01496917198213532
within,CSCO,2024-05-07,2024-05-14,0.035321445593129,0.034321445593128996,0.03279677411003608,0.00021220584457524303,0.019352273610993675,0.01496917198213532
hold,CSCO,2025-03-07,2025-03-14,-0.05380042564189946,-0.054800425641899464,0.02466945597520285,0.008636263954149946,-0.012280833082920384,-0.04251959255897908
within,CSCO,2025-03-07,2025-03-14,-0.05380042564189946,-0.054800425641899464,0.02466945597520285,0.008636263954149946,-0.012280833082920384,-0.04251959255897908
hold,CSCO,2026-08-25,2026-09-01,-0.012330147952986259,-0.01333014795298626,0.1225672368748459,0.00732138257439184,-0.0015611609987480346,-0.011768986954238225
within,CSCO,2026-08-25,2026-09-01,-0.012330147952986259,-0.01333014795298626,0.1225672368748459,0.00732138257439184,-0.0015611609987480346,-0.011768986954238225
within,PFE,2016-09-15,2016-09-22,0.00029281781074308455,-0.0007071821892569155,0.029188883838353937,0.02070340083052905,0.015007048202247963,-0.01571423039150488
hold,PFE,2016-12-02,2016-12-09,0.0022131345625859833,0.0012131345625859833,0.06667103690967298,0.004744334946910677,0.028257590379731745,-0.027044455817145763
within,PFE,2016-12-02,2016-12-09,0.0022131345625859833,0.0012131345625859833,0.06667103690967298,0.004744334946910677,0.028257590379731745,-0.027044455817145763
hold,PFE,2017-03-16,2017-03-23,-0.004066130441414129,-0.005066130441414129,0.017828813699179737,0.0,-0.009051135738088578,0.0039850052966744496
within,PFE,2017-03-16,2017-03-23,-0.004066130441414129,-0.005066130441414129,0.017828813699179737,0.0,-0.009051135738088578,0.0039850052966744496
hold,PFE,2017-03-30,2017-04-06,-0.006986718855177765,-0.007986718855177766,0.018359828816157556,0.0005852179104544859,-0.011331117355779963,0.003344398500602197
within,PFE,2017-03-30,2017-04-06,-0.006986718855177765,-0.007986718855177766,0.018359828816157556,0.0005852179104544859,-0.011331117355779963,0.003344398500602197
hold,PFE,2018-03-07,2018-03-14,0.011689639659424822,0.010689639659424821,0.040159327385399055,0.006666557132141235,0.01809526836186426,-0.007405628702439437
within,PFE,2018-03-07,2018-03-14,0.011689639659424822,0.010689639659424821,0.040159327385399055,0.006666557132141235,0.01809526836186426,-0.007405628702439437
hold,PFE,2018-10-30,2018-11-06,0.002798031250248023,0.001798031250248023,0.048027761602602505,0.018835810916053793,0.026548683402809248,-0.024750652152561226
within,PFE,2018-10-30,2018-11-06,0.002798031250248023,0.001798031250248023,0.048027761602602505,0.018835810916053793,0.026548683402809248,-0.024750652152561226
hold,PFE,2018-12-12,2018-12-19,-0.04959221566427929,-0.050592215664279294,0.051259221142896695,0.008822655107610477,-0.05709711930085348,0.006504903636574189
within,PFE,2018-12-12,2018-12-19,-0.04959221566427929,-0.050592215664279294,0.051259221142896695,0.008822655107610477,-0.05709711930085348,0.006504903636574189
