stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2015-07-24,2015-07-31,market_wide,-3.0783177685954413,-2.944076718473155,0.015825949817296348,0.014825949817296347,0.021551102566563785,-0.006725152749267438
KO,2015-08-13,2015-08-20,market_wide,-2.2191143358543393,-2.152689182384394,-0.013382415820733629,-0.01438241582073363,-0.03152808598399737,0.017145670163263738
KO,2015-08-21,2015-08-28,market_wide,-6.000491643362377,-6.729667851884725,-0.0020236726087790036,-0.0030236726087790036,0.01320696680000677,-0.016230639408785774
KO,2015-09-01,2015-09-09,market_wide,-2.3967120655570473,-2.485066512955967,-0.011613777475716125,-0.012613777475716126,0.01407459436125058,-0.026688371836966707
KO,2015-09-10,2015-09-17,market_wide,-2.78591220359413,-1.329801405469536,0.033867139240791655,0.032867139240791654,0.01660236098278567,0.016264778258005985
KO,2015-11-02,2015-11-09,idiosyncratic,-2.762625803171913,0.5716641914709013,-0.01657187553690187,-0.01757187553690187,-0.020591340449043538,0.0030194649121416672
KO,2015-11-10,2015-11-17,market_wide,-2.6439215521207515,-1.7535049604049706,-0.0023942331327669875,-0.0033942331327669875,-0.011308862369135642,0.007914629236368653
KO,2015-12-09,2015-12-16,market_wide,-2.4017618129458826,-3.6690897375025666,0.027660664805854607,0.026660664805854606,0.006942989976144398,0.019717674829710208
KO,2015-12-18,2015-12-28,market_wide,-2.785176466550084,-3.472261107188532,0.023294106798213532,0.02229410679821353,0.02602710781694073,-0.0037330010187272
KO,2015-12-31,2016-01-08,market_wide,-2.0662840599170114,-1.502556677341814,-0.033752419209496454,-0.034752419209496455,-0.060478142845151184,0.02572572363565473
KO,2016-01-11,2016-01-19,market_wide,-2.6155183214916597,-2.9246189284930044,0.008177374630333523,0.007177374630333523,-0.02305240149018517,0.030229776120518692
KO,2016-01-20,2016-01-27,market_wide,-3.2856276502139936,-3.5432823351297653,0.01715776826119786,0.016157768261197858,0.009733565328135185,0.006424202933062673
KO,2016-02-10,2016-02-18,market_wide,-2.2032774776175117,-2.8246246009001994,0.024911516130832645,0.023911516130832644,0.04548905647621582,-0.021577540345383173
KO,2016-02-26,2016-03-04,idiosyncratic,-2.0363506474378767,-0.11678858820874859,0.022485163278002096,0.021485163278002095,0.026997671250054367,-0.005512507972052272
KO,2016-04-13,2016-04-20,idiosyncratic,-4.304944505494314,0.9762190994643438,-0.03627290626238011,-0.03727290626238011,0.01023294679324449,-0.0475058530556246
KO,2016-04-28,2016-05-05,market_wide,-2.0147012738089956,-3.618730925190679,0.009634770889168864,0.008634770889168863,-0.02994472563862749,0.03857949652779635
KO,2016-05-17,2016-05-24,market_wide,-3.2910057631781955,-3.285489687938395,-0.008491736732546884,-0.009491736732546885,0.019896399059402103,-0.02938813579194899
KO,2016-05-25,2016-06-02,idiosyncratic,-2.073310836684614,1.2202184526105608,0.007661276112629123,0.006661276112629123,0.006473792540139245,0.000187483572489878
KO,2016-06-17,2016-06-24,market_wide,-3.2372503499436682,-2.678435570558819,-0.019200858160887124,-0.020200858160887125,-0.008486684937538458,-0.011714173223348667
KO,2016-06-27,2016-07-05,market_wide,-4.044032837444374,-5.930540758939446,0.037688547987443144,0.03668854798744314,0.0352372011452835,0.0014513468421596398
KO,2016-07-27,2016-08-03,market_wide,-9.304488159464738,-1.0808253238378807,0.005529788390555401,0.004529788390555401,-0.008921849966845308,0.013451638357400708
KO,2016-08-04,2016-08-11,market_wide,-2.3142221527778406,-1.6622521647198232,0.005515749181823626,0.004515749181823626,0.01459872757188796,-0.010082978390064334
KO,2016-08-24,2016-08-31,market_wide,-2.017244812064022,-2.7939213617924072,-0.00957762947004126,-0.010577629470041261,-0.003480388204221696,-0.007097241265819565
