stock,entry_date,exit_date,branch,z,spy_z,vr,streak_len,streak_decline,ret,ret_net,bench_ret,excess_ret
KO,2015-12-18,2015-12-28,market_wide,2.0203371872320934,-3.4722863553831065,1.5406023613165216,2.0,-0.030566335709103595,0.023294309329764395,0.022294309329764395,0.026027211022746854,-0.00373290169298246
KO,2016-02-26,2016-03-04,idiosyncratic,2.6084509800316718,-0.11683488273511591,1.3674925616006366,1.0,-0.02309766282528596,0.022485292262511836,0.021485292262511835,0.02699771698584663,-0.005512424723334797
KO,2016-04-20,2016-04-27,idiosyncratic,5.884483996146622,0.09317163530737628,3.383271706720472,1.0,-0.04785407766685364,0.006987087808380865,0.005987087808380865,0.008044902379553687,-0.0020578145711728215
KO,2016-05-18,2016-05-25,market_wide,2.0847942968183495,-3.048002290356738,1.2490824590098535,2.0,-0.024988808863495932,-0.0022485510749782334,-0.0032485510749782334,0.02997242291258906,-0.03322097398756729
KO,2016-06-24,2016-07-01,market_wide,2.0086513869219957,-5.88217362736108,2.28572006198694,1.0,-0.02551011684489133,0.027088162213861455,0.026088162213861454,0.02439382863557471,0.0016943335782867441
KO,2016-07-27,2016-08-03,market_wide,4.775236218497113,-1.0808780834666882,4.058465758648634,3.0,-0.053022094822986046,0.005530272665573044,0.004530272665573044,-0.008921705383552303,0.013451978049125346
KO,2016-09-09,2016-09-16,market_wide,2.8066540632762957,-8.791463047746948,2.463821017808945,3.0,-0.03471116477955972,0.00506947124398982,0.00406947124398982,0.002814330587118885,0.0012551406568709353
KO,2016-11-10,2016-11-17,idiosyncratic,5.157241986149143,0.21788925788325883,2.397473406077354,2.0,-0.045242848888910184,0.004396792289787399,0.003396792289787399,0.009466552898013791,-0.006069760608226392
KO,2016-12-01,2016-12-08,market_wide,2.7387491857029733,-1.677039126335349,1.4961481875699605,3.0,-0.029710450362585617,0.020164448037931493,0.019164448037931492,0.02899427131204546,-0.009829823274113969
KO,2017-02-10,2017-02-17,idiosyncratic,3.802273701925447,0.9004236738499499,2.0565874705384983,2.0,-0.03426956838614489,0.01601785904924591,0.015017859049245907,0.016369050710490995,-0.001351191661245088
KO,2017-08-18,2017-08-25,market_wide,2.3990002847951053,-2.977256205087171,1.3105682164501018,2.0,-0.011471444531014804,-0.002189324923175473,-0.003189324923175473,0.00378256820837497,-0.006971893131550443
KO,2017-09-27,2017-10-04,idiosyncratic,5.1115449659844066,-0.022787512131603883,1.507802999079007,2.0,-0.022981041626066744,0.01926513139122754,0.01826513139122754,0.015303741955086991,0.002961389436140549
KO,2017-10-25,2017-11-01,market_wide,2.05920666287161,-2.3801812212004454,1.4625289598829412,4.0,-0.011590643178876365,-0.005428502450817052,-0.006428502450817052,-0.01171130961348732,0.0052828071626702675
KO,2017-11-15,2017-11-22,market_wide,2.2869675447460907,-4.931525862510332,1.47090662737648,1.0,-0.013071554361434354,-0.020721818241218215,-0.021721818241218216,0.019220715726725013,-0.04094253396794323
KO,2017-12-08,2017-12-15,idiosyncratic,3.1817036937556185,0.3097293645527681,1.1857051885461662,2.0,-0.0245426431849331,0.01942200890843493,0.018422008908434928,0.006957998308075197,0.01146401060035973
KO,2018-01-30,2018-02-06,market_wide,2.86487461296297,-1.6685716685757463,0.9268580983897589,2.0,-0.02307835458356167,-0.05779372672654781,-0.05879372672654781,-0.05255336762673335,-0.006240359099814463
KO,2018-02-07,2018-02-14,market_wide,5.833390903427054,-2.5752541012370194,1.194367375742855,5.0,-0.06366889740915628,-0.0103228019955387,-0.0113228019955387,0.0027241369866832787,-0.01404693898222198
KO,2018-03-23,2018-04-02,market_wide,2.3527586321604823,-4.724748241214629,0.9720416828370644,8.0,-0.04187427407144117,0.008032499221240386,0.007032499221240386,-0.002852446883722326,0.00988494610496271
KO,2018-08-24,2018-08-31,idiosyncratic,2.0091162549036,0.7029191207326347,1.1856354189218445,4.0,-0.02353937053430132,-0.02323058146555712,-0.02423058146555712,0.007172906790385625,-0.031403488255942746
KO,2018-10-11,2018-10-18,market_wide,4.571861445397076,-4.848632732012896,1.765415516130804,3.0,-0.039587445793956115,0.021729618906535686,0.020729618906535685,0.011294591371045604,0.009435027535490081
KO,2018-11-20,2018-11-28,market_wide,2.7723735809161094,-4.144048201728433,1.2725929022646334,1.0,-0.022371495338345516,0.006682787836965742,0.005682787836965742,0.039444518236428694,-0.03376173039946295
KO,2018-12-06,2018-12-13,market_wide,2.0937317830631725,-1.731592137058466,1.304055913512014,3.0,-0.020238352806285977,0.0018224774168091873,0.0008224774168091873,-0.020752096720579982,0.02157457413738917
