variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,ret_hold5,age_days,bench_ret,excess_ret,excess_hold5
base,NVDA,2017-12-06,2017-12-13,hold_days,-0.01627372487571288,-0.01727372487571288,-0.01727372487571288,2,0.011405604930115665,-0.028679329805828546,-0.028679329805828546
base,NVDA,2018-04-05,2018-04-12,hold_days,0.0597160252966924,0.0587160252966924,0.0587160252966924,3,0.00904153519431694,0.04967449010237546,0.04967449010237546
trough9,NVDA,2018-04-05,2018-04-12,hold_days,0.0597160252966924,0.0587160252966924,0.0587160252966924,3,0.00904153519431694,0.04967449010237546,0.04967449010237546
trough9_any,NVDA,2018-04-05,2018-04-12,hold_days,0.0597160252966924,0.0587160252966924,0.0587160252966924,3,0.00904153519431694,0.04967449010237546,0.04967449010237546
trough9_any,NVDA,2018-07-23,2018-07-30,hold_days,-0.02116990970645194,-0.02216990970645194,-0.02216990970645194,7,0.004316450253536885,-0.026486359959988826,-0.026486359959988826
trough9_any,NVDA,2018-11-16,2018-11-26,hold_days,-0.0692088993106168,-0.0702088993106168,-0.0702088993106168,434,-0.021973343244823917,-0.048235556065792884,-0.048235556065792884
base,NVDA,2019-03-01,2019-03-08,hold_days,-0.03713624256396231,-0.03813624256396231,-0.03813624256396231,1,-0.017218733301819555,-0.020917509262142753,-0.020917509262142753
base,NVDA,2019-05-22,2019-05-30,hold_days,-0.08496180026304156,-0.08596180026304157,-0.08596180026304157,2,-0.030800677120984776,-0.05516112314205679,-0.05516112314205679
base,NVDA,2019-08-06,2019-08-13,hold_days,0.024285983143288448,0.023285983143288447,0.023285983143288447,1,0.0036393694391501086,0.019646613704138338,0.019646613704138338
base,NVDA,2019-09-23,2019-09-30,hold_days,-0.004403888911116316,-0.005403888911116316,-0.005403888911116316,3,-0.010940232467498978,0.005536343556382662,0.005536343556382662
trough9_any,NVDA,2019-12-02,2019-12-09,hold_days,0.013954555074032315,0.012954555074032315,0.012954555074032315,13,0.00017570530160382347,0.012778849772428491,0.012778849772428491
trough9_any,NVDA,2020-06-08,2020-06-15,hold_days,0.04187969172102379,0.04087969172102379,0.04087969172102379,5,-0.03736677530539245,0.07824646702641624,0.07824646702641624
trough9_any,NVDA,2020-07-28,2020-08-04,hold_days,0.09908963197500786,0.09808963197500786,0.09808963197500786,5,0.01530192723277013,0.08278770474223773,0.08278770474223773
trough9,NVDA,2021-01-29,2021-02-05,hold_days,0.046286295546636325,0.045286295546636324,0.045286295546636324,2,0.03724245303837015,0.008043842508266175,0.008043842508266175
trough9_any,NVDA,2021-01-29,2021-02-05,hold_days,0.046286295546636325,0.045286295546636324,0.045286295546636324,2,0.03724245303837015,0.008043842508266175,0.008043842508266175
trough9,NVDA,2021-04-21,2021-04-28,hold_days,-0.0054523778628430275,-0.0064523778628430275,-0.0064523778628430275,1,-0.005739059837298166,-0.0007133180255448615,-0.0007133180255448615
trough9_any,NVDA,2021-04-21,2021-04-28,hold_days,-0.0054523778628430275,-0.0064523778628430275,-0.0064523778628430275,1,-0.005739059837298166,-0.0007133180255448615,-0.0007133180255448615
trough9_any,NVDA,2022-04-12,2022-04-20,hold_days,-0.0010231439106950235,-0.0020231439106950235,-0.0020231439106950235,29,0.0018936240254243675,-0.003916767936119391,-0.003916767936119391
trough9_any,NVDA,2022-05-06,2022-05-13,hold_days,-0.05188752532433871,-0.05288752532433871,-0.05288752532433871,7,-0.010321512965598023,-0.04256601235874069,-0.04256601235874069
base,NVDA,2022-06-14,2022-06-22,hold_days,0.03308927372658865,0.03208927372658865,0.03208927372658865,1,0.0019694526017519642,0.030119821124836688,0.030119821124836688
trough9,NVDA,2022-08-24,2022-08-31,hold_days,-0.12356313404552344,-0.12456313404552344,-0.12456313404552344,2,-0.0500826519402261,-0.07448048210529734,-0.07448048210529734
trough9_any,NVDA,2022-08-24,2022-08-31,hold_days,-0.12356313404552344,-0.12456313404552344,-0.12456313404552344,2,-0.0500826519402261,-0.07448048210529734,-0.07448048210529734
base,NVDA,2022-09-27,2022-10-04,hold_days,0.060742515875007674,0.05974251587500767,0.05974251587500767,1,0.03650751358740645,0.023235002287601225,0.023235002287601225
base,NVDA,2023-02-10,2023-02-17,hold_days,0.00578437470976878,0.00478437470976878,0.00478437470976878,4,0.005825934729881244,-0.0010415600201124633,-0.0010415600201124633
base,NVDA,2023-05-10,2023-05-16,resistance,0.011355138568010847,0.010355138568010847,0.04376349980634153,1,-0.0009153180219056978,0.011270456589916544,0.04467881782824723
trough9_any,NVDA,2023-08-08,2023-08-15,hold_days,-0.016209963629273183,-0.017209963629273184,-0.017209963629273184,6,-0.014654611279971141,-0.0025553523493020425,-0.0025553523493020425
trough9_any,NVDA,2023-09-07,2023-09-14,hold_days,-0.014272979050289458,-0.015272979050289459,-0.015272979050289459,13,0.0065268890897651755,-0.021799868140054635,-0.021799868140054635
trough9_any,NVDA,2023-09-21,2023-09-28,hold_days,0.05051583242400293,0.049515832424002926,0.049515832424002926,84,-0.008517364067713862,0.05803319649171679,0.05803319649171679
base,NVDA,2023-10-10,2023-10-17,hold_days,-0.0406131335369716,-0.0416131335369716,-0.0416131335369716,1,0.005326599660502973,-0.046939733197474576,-0.046939733197474576
trough9_any,NVDA,2024-04-15,2024-04-22,hold_days,-0.07538278433119772,-0.07638278433119772,-0.07638278433119772,6,-0.006846704836383166,-0.06953607949481455,-0.06953607949481455
base,NVDA,2025-01-31,2025-02-07,hold_days,0.08136917253092668,0.08036917253092668,0.08036917253092668,4,0.0022930168125123718,0.07807615571841431,0.07807615571841431
trough9_any,NVDA,2025-11-18,2025-11-25,hold_days,-0.01951910910509147,-0.02051910910509147,-0.02051910910509147,27,0.014890559973165463,-0.03540966907825693,-0.03540966907825693
trough9,NVDA,2025-11-26,2025-12-04,hold_days,0.017364961251676192,0.01636496125167619,0.01636496125167619,1,0.02322787402834381,-0.006862912776667618,-0.006862912776667618
trough9_any,NVDA,2025-11-26,2025-12-04,hold_days,0.017364961251676192,0.01636496125167619,0.01636496125167619,1,0.02322787402834381,-0.006862912776667618,-0.006862912776667618
base,NVDA,2026-03-17,2026-03-24,hold_days,-0.03699229659205028,-0.03799229659205028,-0.03799229659205028,4,-0.018480776712442526,-0.019511519879607753,-0.019511519879607753
trough9_any,NVDA,2026-09-10,2026-09-17,hold_days,0.004487981886791559,0.003487981886791559,0.003487981886791559,9,0.0012851796513655422,0.0022028022354260166,0.0022028022354260166
base,CSCO,2016-09-13,2016-09-20,hold_days,0.0012880713208238692,0.0002880713208238692,0.0002880713208238692,4,0.01609085854195147,-0.0158027872211276,-0.0158027872211276
trough9_any,CSCO,2016-09-26,2016-10-03,hold_days,0.02221828810688664,0.02121828810688664,0.02121828810688664,10,0.013295789606690311,0.007922498500196329,0.007922498500196329
trough9_any,CSCO,2017-06-06,2017-06-13,hold_days,0.0044361953517984,0.0034361953517984,0.0034361953517984,12,0.0005056702657382228,0.002930525086060177,0.002930525086060177
trough9_any,CSCO,2017-06-14,2017-06-21,hold_days,0.00759492728697464,0.00659492728697464,0.00659492728697464,20,0.007618198109254237,-0.0010232708222795974,-0.0010232708222795974
base,CSCO,2017-06-28,2017-07-06,hold_days,-0.03344728228741545,-0.03444728228741545,-0.03444728228741545,1,-0.021777456676870144,-0.012669825610545304,-0.012669825610545304
base,CSCO,2017-08-04,2017-08-11,hold_days,-0.010377247731940598,-0.011377247731940598,-0.011377247731940598,4,-0.011899804239793643,0.0005225565078530447,0.0005225565078530447
base,CSCO,2018-07-17,2018-07-24,hold_days,0.0011807570071502571,0.0001807570071502571,0.0001807570071502571,4,-0.005192632247494777,0.005373389254645034,0.005373389254645034
trough9_any,CSCO,2018-07-30,2018-08-06,hold_days,0.026796398916417496,0.025796398916417496,0.025796398916417496,10,0.02270903043756345,0.0030873684788540467,0.0030873684788540467
trough9,CSCO,2018-10-26,2018-11-02,hold_days,0.027796453021400547,0.026796453021400546,0.026796453021400546,2,0.042353917549045716,-0.01555746452764517,-0.01555746452764517
trough9_any,CSCO,2018-10-26,2018-11-02,hold_days,0.027796453021400547,0.026796453021400546,0.026796453021400546,2,0.042353917549045716,-0.01555746452764517,-0.01555746452764517
trough9_any,CSCO,2018-12-21,2018-12-31,hold_days,0.03536481784556811,0.03436481784556811,0.03436481784556811,154,0.04618705637657894,-0.011822238531010831,-0.011822238531010831
trough9,CSCO,2019-08-27,2019-09-04,hold_days,0.01132726192813327,0.010327261928133269,0.010327261928133269,4,0.02761021570512634,-0.01728295377699307,-0.01728295377699307
trough9_any,CSCO,2019-08-27,2019-09-04,hold_days,0.01132726192813327,0.010327261928133269,0.010327261928133269,4,0.02761021570512634,-0.01728295377699307,-0.01728295377699307
trough9_any,CSCO,2019-10-08,2019-10-15,hold_days,-0.0006465770073216248,-0.0016465770073216248,-0.0016465770073216248,46,0.04641723292609279,-0.048063809933414414,-0.048063809933414414
trough9_any,CSCO,2019-10-18,2019-10-25,hold_days,0.004067430144991224,0.0030674301449912242,0.0030674301449912242,56,0.03203820157124082,-0.028970771426249597,-0.028970771426249597
trough9_any,CSCO,2019-11-26,2019-12-04,hold_days,-0.031339455508421654,-0.032339455508421655,-0.032339455508421655,5,-0.013332085295713392,-0.019007370212708263,-0.019007370212708263
trough9_any,CSCO,2020-01-27,2020-02-03,hold_days,-0.019802058969378145,-0.020802058969378145,-0.020802058969378145,17,0.0011164524379789764,-0.021918511407357122,-0.021918511407357122
base,CSCO,2020-02-20,2020-02-27,hold_days,-0.14535748939019033,-0.14635748939019033,-0.14635748939019033,1,-0.11793923795013461,-0.02841825144005572,-0.02841825144005572
trough9_any,CSCO,2020-05-01,2020-05-08,hold_days,0.050586756063097704,0.0495867560630977,0.0495867560630977,10,0.041203407536609005,0.008383348526488699,0.008383348526488699
trough9_any,CSCO,2020-07-13,2020-07-20,hold_days,0.022643157773562184,0.021643157773562183,0.021643157773562183,6,0.04130634615438944,-0.019663188380827257,-0.019663188380827257
trough9_any,CSCO,2020-07-28,2020-08-04,hold_days,0.03003460814119796,0.02903460814119796,0.02903460814119796,12,0.01530192723277013,0.01373268090842783,0.01373268090842783
base,CSCO,2020-08-20,2020-08-27,hold_days,-0.0004728989325109012,-0.0014728989325109012,-0.0014728989325109012,1,0.013497210759219502,-0.014970109691730404,-0.014970109691730404
trough9_any,CSCO,2021-02-26,2021-03-05,hold_days,0.03075525222208242,0.029755252222082418,0.029755252222082418,28,-0.0047038183099856745,0.03445907053206809,0.03445907053206809
base,CSCO,2021-03-02,2021-03-09,hold_days,0.05206488307384016,0.05106488307384016,0.05106488307384016,4,0.0016203464104487253,0.049444536663391436,0.049444536663391436
trough9_any,CSCO,2021-04-20,2021-04-27,hold_days,-0.008109491570849281,-0.009109491570849282,-0.009109491570849282,6,0.008576674615584201,-0.017686166186433483,-0.017686166186433483
trough9_any,CSCO,2021-09-20,2021-09-27,hold_days,0.005904365604095352,0.004904365604095352,0.004904365604095352,33,0.01096520150115654,-0.006060835897061189,-0.006060835897061189
trough9_any,CSCO,2021-09-28,2021-10-05,hold_days,-0.008295201356513071,-0.009295201356513072,-0.009295201356513072,41,-0.006733469914931067,-0.0025617314415820047,-0.0025617314415820047
base,CSCO,2021-10-01,2021-10-08,hold_days,0.00566006151119991,0.00466006151119991,0.00466006151119991,1,0.00947927606265142,-0.004819214551451511,-0.004819214551451511
trough9_any,CSCO,2021-10-12,2021-10-19,hold_days,0.026897584463729807,0.025897584463729806,0.025897584463729806,6,0.04582827554787472,-0.019930691084144914,-0.019930691084144914
base,CSCO,2022-03-10,2022-03-17,hold_days,0.026686080215022834,0.025686080215022833,0.025686080215022833,2,0.04413049788795753,-0.0184444176729347,-0.0184444176729347
trough9,CSCO,2022-03-10,2022-03-17,hold_days,0.026686080215022834,0.025686080215022833,0.025686080215022833,2,0.04413049788795753,-0.0184444176729347,-0.0184444176729347
trough9_any,CSCO,2022-03-10,2022-03-17,hold_days,0.026686080215022834,0.025686080215022833,0.025686080215022833,2,0.04413049788795753,-0.0184444176729347,-0.0184444176729347
base,CSCO,2022-04-19,2022-04-26,hold_days,-0.017943304348316924,-0.018943304348316925,-0.018943304348316925,1,-0.056254224306707123,0.0373109199583902,0.0373109199583902
trough9_any,CSCO,2022-05-05,2022-05-12,hold_days,-0.026607475726883822,-0.027607475726883823,-0.027607475726883823,6,-0.0437629739844253,0.01615549825754148,0.01615549825754148
base,CSCO,2022-05-16,2022-05-23,hold_days,-0.11530619869932257,-0.11630619869932257,-0.11630619869932257,4,-0.03205321789270432,-0.08425298080661825,-0.08425298080661825
trough9_any,CSCO,2022-06-28,2022-07-06,hold_days,0.00033044152863626053,-0.0006695584713637395,-0.0006695584713637395,5,-0.012656473487770215,0.011986915016406474,0.011986915016406474
trough9_any,CSCO,2022-08-30,2022-09-07,hold_days,-0.004862795457947322,-0.005862795457947322,-0.005862795457947322,21,-0.004512805207096293,-0.0013499902508510289,-0.0013499902508510289
trough9,CSCO,2022-09-07,2022-09-14,hold_days,-0.02354527108319049,-0.02454527108319049,-0.02454527108319049,1,-0.02108545571643594,-0.0034598153667545484,-0.0034598153667545484
trough9_any,CSCO,2023-01-18,2023-01-25,hold_days,0.023027708984124873,0.022027708984124872,0.022027708984124872,13,0.024313633752995,-0.002285924768870129,-0.002285924768870129
base,CSCO,2023-04-24,2023-05-01,hold_days,-0.0010551230000924727,-0.0020551230000924728,-0.0020551230000924728,4,-0.0027983720621906905,0.0007432490620982177,0.0007432490620982177
base,CSCO,2023-11-21,2023-11-29,hold_days,0.0052299329207052825,0.0042299329207052825,0.0042299329207052825,4,0.005108107487592273,-0.0008781745668869903,-0.0008781745668869903
trough9_any,CSCO,2023-12-04,2023-12-11,hold_days,0.027887714755333137,0.026887714755333136,0.026887714755333136,6,0.006456833541762519,0.020430881213570617,0.020430881213570617
base,CSCO,2024-02-23,2024-03-01,hold_days,-0.00941448754131391,-0.01041448754131391,-0.01041448754131391,3,0.008299485235338189,-0.0187139727766521,-0.0187139727766521
trough9_any,CSCO,2024-04-04,2024-04-11,hold_days,0.02951564116887795,0.028515641168877948,0.028515641168877948,36,0.010719373034560498,0.01779626813431745,0.01779626813431745
trough9_any,CSCO,2024-04-15,2024-04-22,hold_days,-0.002072904790823893,-0.003072904790823893,-0.003072904790823893,47,-0.006846704836383166,0.0037738000455592733,0.0037738000455592733
trough9_any,CSCO,2024-04-23,2024-04-30,hold_days,-0.027731720373677438,-0.02873172037367744,-0.02873172037367744,55,-0.001943723340739556,-0.026787997032937882,-0.026787997032937882
base,CSCO,2024-08-29,2024-09-06,hold_days,-0.03750727609860749,-0.03850727609860749,-0.03850727609860749,1,-0.02820283921597866,-0.010304436882628831,-0.010304436882628831
trough9,CSCO,2025-03-06,2025-03-13,hold_days,-0.0589813261070834,-0.0599813261070834,-0.0599813261070834,2,-0.02754241685918213,-0.03243890924790127,-0.03243890924790127
trough9_any,CSCO,2025-03-06,2025-03-13,hold_days,-0.0589813261070834,-0.0599813261070834,-0.0599813261070834,2,-0.02754241685918213,-0.03243890924790127,-0.03243890924790127
base,CSCO,2025-05-27,2025-06-03,resistance,0.009568662997351929,0.008568662997351928,0.008568662997351928,4,0.00573626113210679,0.0028324018652451377,0.0028324018652451377
base,CSCO,2025-08-05,2025-08-12,hold_days,0.05716845477153076,0.05616845477153076,0.05616845477153076,4,0.019615330848015367,0.036553123923515396,0.036553123923515396
trough9_any,CSCO,2025-09-23,2025-09-30,hold_days,0.013029377554474753,0.012029377554474752,0.012029377554474752,11,0.025924107021448206,-0.013894729466973454,-0.013894729466973454
