stock,L1_date,H1_date,L2_date,entry_date,exit_date,rise1,drop2,ret,ret_net,bench_ret,excess_ret
KO,2015-07-22,2015-07-31,2015-08-12,2015-08-13,2015-08-20,0.0044009941075270126,-0.004381512603049174,-0.01338215245086083,-0.01438215245086083,-0.03152807053733042,0.01714591808646959
KO,2015-11-06,2015-11-18,2015-12-03,2015-12-04,2015-12-11,0.007626008326524359,-0.011959386944831927,-0.023562155944710783,-0.024562155944710784,-0.05027160660797558,0.0257094506632648
KO,2015-12-03,2015-12-04,2015-12-11,2015-12-16,2015-12-23,0.019547658433953764,0.0235621559447108,-0.003877940407593705,-0.004877940407593705,-0.0011803646448398375,-0.0036975757627538677
KO,2016-11-10,2016-11-25,2016-11-30,2016-12-07,2016-12-14,0.014411424051706319,0.020198941186150534,-0.001937747027303538,-0.002937747027303538,0.005095358381431714,-0.008033105408735253
KO,2016-12-28,2017-01-03,2017-01-09,2017-01-24,2017-01-31,0.009905692410347978,0.011483027130175377,-0.007875708460189035,-0.008875708460189036,-0.004426325408762755,-0.004449383051426281
KO,2017-01-09,2017-01-24,2017-02-01,2017-02-08,2017-02-15,0.014036610042221042,0.015274448142508178,-0.03760079641734926,-0.03860079641734926,0.0229147366100122,-0.06151553302736146
KO,2017-06-08,2017-06-14,2017-06-21,2017-06-26,2017-07-03,0.012027543182636368,0.0017659673016776297,-0.014748387085252834,-0.015748387085252835,-0.009704617688450212,-0.006043769396802623
KO,2017-11-06,2017-11-08,2017-11-17,2017-12-01,2017-12-08,0.015614581368423556,0.010177744236013949,-0.014357152873927026,-0.015357152873927027,0.00045720747066235745,-0.015814360344589384
KO,2017-11-17,2017-11-30,2017-12-08,2017-12-13,2017-12-20,0.009522367300680427,0.010050336715496063,0.003921697370105948,0.0029216973701059476,0.00859156837966446,-0.005669871009558513
KO,2018-09-25,2018-10-02,2018-10-10,2018-10-24,2018-10-31,0.018169975341895496,0.017845719066498816,0.02460938332990925,0.02360938332990925,0.02881028997481283,-0.00520090664490358
KO,2018-12-20,2019-01-04,2019-01-09,2019-01-18,2019-01-28,0.0006309033696265933,0.021021617754242328,-0.009241673635166037,-0.010241673635166038,-0.010351381067301824,0.00010970743213578604
KO,2019-02-15,2019-03-04,2019-03-08,2019-03-11,2019-03-18,0.009062517190105833,0.017743665723372035,-0.008089773489057595,-0.009089773489057595,0.02187207921821588,-0.030961852707273474
KO,2019-05-07,2019-05-14,2019-05-21,2019-05-22,2019-05-30,0.014375136273443142,0.001848411955486108,-0.008056780625362303,-0.009056780625362304,-0.024029113376791922,0.014972332751429618
KO,2019-07-31,2019-08-07,2019-08-14,2019-08-15,2019-08-22,0.010449895352315972,0.003572403163261929,0.011509282607043536,0.010509282607043535,0.041248705787368944,-0.03073942318032541
KO,2019-08-14,2019-08-15,2019-08-23,2019-08-26,2019-09-03,0.016606780351439487,0.0024133290017171764,0.013934939144076841,0.01293493914407684,0.014794031398670304,-0.001859092254593464
KO,2019-10-11,2019-10-17,2019-10-25,2019-10-30,2019-11-06,0.00919330297262765,0.0007434353155677596,-0.021134616816871343,-0.022134616816871344,0.020707770773328082,-0.04284238759019943
KO,2019-12-18,2019-12-20,2020-01-03,2020-01-09,2020-01-16,0.019662535280296094,0.005093697691844088,0.026743613107779618,0.025743613107779617,0.00889194951542871,0.016851663592350907
KO,2020-06-24,2020-07-06,2020-07-09,2020-07-13,2020-07-20,0.0129894787618479,0.029183954363728812,0.01922632131737312,0.018226321317373118,0.027902409013442542,-0.009676087696069424
KO,2020-07-30,2020-08-07,2020-08-19,2020-08-24,2020-08-31,0.0023065699447378466,0.008995702319141305,0.032520108829887207,0.031520108829887206,0.02667105229571609,0.0048490565341711145
KO,2020-10-19,2020-10-20,2020-10-28,2020-11-09,2020-11-16,0.01269663339121765,0.04557230757180498,0.024348463417079413,0.023348463417079413,0.0273977531251397,-0.0040492897080602885
KO,2021-01-14,2021-01-26,2021-01-29,2021-02-05,2021-02-12,0.0012186523869583536,0.023128596806620782,0.020946413559959076,0.019946413559959075,0.014589764734204369,0.005356648825754706
KO,2021-09-27,2021-10-06,2021-10-18,2021-10-19,2021-10-26,0.001865352611444234,-0.0042820105405107205,0.005909340744473912,0.004909340744473912,0.023111083749056682,-0.01820174300458277
KO,2022-01-24,2022-01-28,2022-02-11,2022-02-15,2022-02-23,0.014676371988216282,0.009039895197887882,0.011164043126723477,0.010164043126723477,-0.04805365208911527,0.05821769521583875
KO,2022-08-08,2022-08-12,2022-08-22,2022-08-23,2022-08-30,0.011592869004707726,-0.007849260047456135,-0.032985879144143415,-0.033985879144143416,-0.037324236933584776,0.0033383577894413596
KO,2022-12-09,2022-12-12,2022-12-15,2022-12-27,2023-01-04,0.013145634083526382,0.013443843362425845,-0.020090329063449097,-0.021090329063449098,0.015472170274695607,-0.036562499338144705
KO,2024-05-20,2024-05-31,2024-06-12,2024-06-13,2024-06-21,0.005753637554261502,0.000794481569393461,0.004239653279717537,0.003239653279717537,0.014737828487096039,-0.011498175207378503
KO,2024-06-12,2024-06-21,2024-07-01,2024-07-02,2024-07-10,0.0059964494270530275,-0.008124835972355875,-0.005067251529125016,-0.0060672515291250164,0.009341352545567005,-0.015408604074692023
KO,2024-09-05,2024-09-13,2024-09-19,2024-09-20,2024-09-27,0.010250934634640748,0.011062834232150955,0.0020936360154495404,0.0010936360154495403,0.022862167336707317,-0.021768531321257778
KO,2024-11-11,2024-11-21,2024-12-04,2024-12-12,2024-12-19,0.006313267488053993,0.016909691230288286,-0.021773117534310327,-0.022773117534310328,-0.04184569409371497,0.01907257655940464
