stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
KO,2015-12-03,2015-12-07,2015-12-08,0.019548164978694334,early_reversal,-0.004398302753732541,-0.0053983027537325414,1,-0.011719028664726516,0.006320725910993975
KO,2016-07-27,2016-07-29,2016-08-01,0.005760370264296463,early_reversal,-0.004125283980953465,-0.005125283980953465,1,-0.0019941777146021966,-0.003131106266351268
KO,2016-09-26,2016-09-28,2016-09-29,0.012842190476691112,early_reversal,-0.0028469252047893523,-0.0038469252047893523,1,-0.00369033407140551,-0.00015659113338384236
KO,2018-11-21,2018-11-26,2018-12-03,0.005951261700398962,hold_days,0.024819347718143536,0.023819347718143535,5,0.05237520353988412,-0.028555855821740583
KO,2019-05-09,2019-05-13,2019-05-20,0.016666831415821284,hold_days,0.016649225568474257,0.015649225568474256,5,-0.003589088406765528,0.019238313975239785
KO,2019-09-16,2019-09-18,2019-09-25,0.005189048126101908,hold_days,-0.0011064957667266118,-0.002106495766726612,5,-0.007485476823717252,0.00537898105699064
KO,2021-08-18,2021-08-20,2021-08-23,0.006371630153930861,early_reversal,-0.0035310707835470856,-0.004531070783547086,1,0.00654385046501349,-0.011074921248560576
KO,2021-09-07,2021-09-09,2021-09-10,0.01347223877247501,early_reversal,-0.004475550698389341,-0.005475550698389341,1,-6.77887765184737e-05,-0.0054077619218708675
KO,2022-09-27,2022-09-29,2022-09-30,0.010642009225938177,early_reversal,-0.00972244436738079,-0.01072244436738079,1,-0.014447825968217143,0.0037253816008363527
KO,2023-01-05,2023-01-09,2023-01-10,0.01929272704854578,early_reversal,-0.007666447603295379,-0.00866644760329538,1,0.005765903799229699,-0.014432351402525079
KO,2023-02-03,2023-02-07,2023-02-08,0.005682705339631753,early_reversal,-0.0058264280473403485,-0.0068264280473403485,1,-0.012900463520567063,0.006074035473226714
KO,2023-02-16,2023-02-21,2023-02-28,0.015197430552925422,hold_days,-0.004849735283295575,-0.005849735283295575,5,-0.006290571734063777,0.0004408364507682014
KO,2023-10-05,2023-10-09,2023-10-16,0.0145095483044247,hold_days,0.010400793855515511,0.00940079385551551,5,0.00540394979357961,0.0039968440619359
KO,2023-12-15,2023-12-19,2023-12-20,0.007167131663877529,early_reversal,-0.020737557942124618,-0.02173755794212462,1,-0.017397938488748266,-0.004339619453376353
KO,2024-12-04,2024-12-06,2024-12-13,0.011413039071341774,hold_days,0.009435590690565432,0.008435590690565431,5,-0.01326743880066339,0.02170302949122882
KO,2024-12-16,2024-12-18,2024-12-19,0.013589133915690955,early_reversal,-0.006364489418114294,-0.007364489418114294,1,-0.00968532492629015,0.0023208355081758567
KO,2025-09-08,2025-09-10,2025-09-11,0.0063769108611258325,early_reversal,-0.0029490732680973464,-0.003949073268097346,1,0.014618249055454946,-0.018567322323552293
KO,2025-10-29,2025-10-31,2025-11-03,0.00921737562048953,early_reversal,-0.01349789240722099,-0.014497892407220991,1,-0.004268748711882764,-0.010229143695338228
KO,2026-07-17,2026-07-21,2026-07-28,0.006866212093551975,hold_days,0.07685724724215048,0.07585724724215048,5,0.009737576793579006,0.06611967044857148
GILD,2016-07-26,2016-07-28,2016-07-29,0.00913066221783502,early_reversal,-0.02178730201665624,-0.02278730201665624,1,-0.0015742852383776595,-0.02121301677827858
GILD,2016-07-29,2016-08-02,2016-08-09,0.01245747934042618,hold_days,-0.003016029224610084,-0.004016029224610084,5,0.01533786458330777,-0.019353893807917855
GILD,2017-05-03,2017-05-05,2017-05-08,0.01294487392350907,early_reversal,-0.008702448500510496,-0.009702448500510497,1,-0.0016632885805660802,-0.008039159919944416
GILD,2018-03-01,2018-03-05,2018-03-12,0.014962257061741875,hold_days,0.040297782278872374,0.03929778227887237,5,0.023795451747661733,0.01550233053121064
GILD,2018-10-11,2018-10-15,2018-10-22,0.015034553375528814,hold_days,-0.006045426403032961,-0.007045426403032961,5,-0.0015191063387538506,-0.00552632006427911
GILD,2019-01-14,2019-01-16,2019-01-24,0.018884591015697654,hold_days,0.0032525282867277294,0.0022525282867277294,5,0.012207963608849681,-0.009955435322121953
GILD,2019-02-28,2019-03-04,2019-03-05,0.015226155398498906,early_reversal,-0.016195251646808795,-0.017195251646808796,1,-0.002957753541244501,-0.014237498105564295
GILD,2019-04-22,2019-04-24,2019-05-01,0.018910521621454873,hold_days,0.03296185061726198,0.03196185061726198,5,-0.011030291420421001,0.04299214203768298
GILD,2019-08-05,2019-08-07,2019-08-14,0.009785294785469568,hold_days,-0.011897311754485274,-0.012897311754485274,5,-0.01135150907425142,-0.0015458026802338543
GILD,2019-09-27,2019-10-01,2019-10-02,0.00763129598222371,early_reversal,-0.025308292841946245,-0.026308292841946246,1,-0.01923466250756456,-0.007073630334381686
GILD,2019-10-25,2019-10-29,2019-10-30,0.0064750777139671745,early_reversal,-0.0047279440114967874,-0.0057279440114967875,1,0.0027116268682563227,-0.008439570879753111
GILD,2019-12-05,2019-12-09,2019-12-16,0.017442682428608376,hold_days,-0.0028337479173879965,-0.0038337479173879965,5,0.017416075038325207,-0.021249822955713205
GILD,2020-07-24,2020-07-28,2020-07-29,0.012221484318708762,early_reversal,-0.009764983038856756,-0.010764983038856757,1,0.010602976575805778,-0.021367959614662535
GILD,2020-08-11,2020-08-13,2020-08-20,0.010866282011434594,hold_days,-0.031240748166629584,-0.032240748166629585,5,-0.0024046441852806355,-0.02983610398134895
GILD,2020-12-22,2020-12-24,2020-12-28,0.006666354087593241,early_reversal,-0.0031539741228192586,-0.004153974122819259,1,0.0017923607665717434,-0.005946334889391002
GILD,2021-06-18,2021-06-22,2021-06-23,0.01110928245108705,early_reversal,-0.005965564871183271,-0.006965564871183271,1,-0.0027764670138188396,-0.004189097857364431
GILD,2021-10-18,2021-10-20,2021-10-27,0.015174471036730242,hold_days,-0.0013463459198178596,-0.0023463459198178596,5,0.005753015142296425,-0.008099361062114285
GILD,2022-06-06,2022-06-08,2022-06-09,0.008221780704627603,early_reversal,-0.019236965556216123,-0.020236965556216124,1,-0.01534569032934996,-0.004891275226866165
GILD,2024-06-03,2024-06-05,2024-06-06,0.011508821309358286,early_reversal,-0.00046962113344029,-0.00146962113344029,1,-0.0015802926091489367,0.00011067147570864664
GILD,2025-03-20,2025-03-24,2025-03-31,0.011429030155955115,hold_days,0.04974713388820362,0.04874713388820362,5,-0.020463291974272324,0.06921042586247594
GILD,2025-05-06,2025-05-08,2025-05-09,0.010420941024193437,early_reversal,-0.012734359849795207,-0.013734359849795208,1,-0.0012426895359683998,-0.012491670313826808
GILD,2026-04-27,2026-04-29,2026-05-06,0.011819947246854543,hold_days,0.05790125715305061,0.05690125715305061,5,0.04616839019334784,0.01073286695970277
