stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
KO,2016-05-20,2016-05-24,2016-05-25,2016-06-02,0.04102129017538192,0.009556261227155272,0.007661038912024853,0.006661038912024853,0.006473700724722864,0.00018733818730198946
KO,2016-07-27,2016-07-29,2016-08-01,2016-08-08,0.053022197102397736,0.005299750866825297,-0.00023013519628201085,-0.0012301351962820109,0.010347433309065623,-0.011577568505347635
KO,2016-09-09,2016-09-13,2016-09-14,2016-09-21,0.03471134439284155,0.008408659968939606,0.009973641667729849,0.008973641667729848,0.01773247185957838,-0.008758830191848532
KO,2016-11-10,2016-11-14,2016-11-15,2016-11-22,0.0452427882427165,0.005617900804474655,-0.0016891389438994375,-0.0026891389438994375,0.008261880432834046,-0.010951019376733484
KO,2017-09-27,2017-09-29,2017-10-02,2017-10-09,0.04000023367655659,0.00828866814923299,0.013615799479204771,0.01261579947920477,-0.0021202684387483517,0.014736067917953122
KO,2017-11-20,2017-11-22,2017-11-24,2017-12-01,0.041534870919449345,0.008359368524745522,0.010176312221376937,0.009176312221376937,0.01734140450210586,-0.008165092280728925
KO,2018-05-09,2018-05-11,2018-05-14,2018-05-21,0.03532640783169583,0.008616499366305043,0.008800860156254586,0.007800860156254586,0.010774822315144927,-0.002973962158890341
KO,2018-10-11,2018-10-15,2018-10-16,2018-10-23,0.04020625280098461,0.006048107840173671,0.01912508891904885,0.01812508891904885,-0.029338266247269984,0.04746335516631883
KO,2018-11-21,2018-11-26,2018-11-27,2018-12-04,0.03524066954808459,0.0028729850525174407,0.012194345079358015,0.011194345079358015,0.010654922372337339,0.0005394227070206759
KO,2020-10-28,2020-10-30,2020-11-02,2020-11-09,0.0536699894832406,0.002085103214128854,0.08124253072854182,0.08024253072854182,0.08062142245145254,-0.0003788917229107236
KO,2020-11-30,2020-12-02,2020-12-03,2020-12-10,0.03426944102467403,0.0098836961279608,0.005115384322236016,0.004115384322236016,0.010386908749048462,-0.006271524426812446
KO,2021-01-07,2021-01-11,2021-01-12,2021-01-20,0.0889861102411009,0.004803836772507835,-0.0285372085077088,-0.0295372085077088,0.011505849889698938,-0.04104305839740774
KO,2021-09-30,2021-10-04,2021-10-05,2021-10-12,0.05203262773721463,0.00991056347451686,0.021665246431643803,0.020665246431643802,-0.0003655753367708403,0.021030821768414643
KO,2022-09-15,2022-09-19,2022-09-20,2022-09-27,0.040575665956909465,0.007727091353211904,-0.05876473640689983,-0.05976473640689983,-0.047549051339954906,-0.012215685066944926
KO,2023-01-19,2023-01-23,2023-01-24,2023-01-31,0.058044176108329744,0.008539936834698171,0.01271665355084517,0.011716653550845169,0.020386050170854375,-0.008669396620009207
KO,2023-07-10,2023-07-12,2023-07-13,2023-07-20,0.031198931014093295,0.00893616882936987,0.03380278833657191,0.03280278833657191,0.011496287183793141,0.021306501152778767
KO,2023-08-04,2023-08-08,2023-08-09,2023-08-16,0.037113374783969075,0.0034589526411814763,-0.009498887044928406,-0.010498887044928407,-0.013172061382182965,0.002673174337254558
KO,2023-10-05,2023-10-09,2023-10-10,2023-10-17,0.09062481138061161,0.009545524123348846,0.0007402137006267129,-0.00025978629937328714,0.004753572177527587,-0.005013358476900875
KO,2024-10-07,2024-10-09,2024-10-10,2024-10-17,0.03966044817383114,0.008114659978316015,0.009386234819323214,0.008386234819323213,0.013006870344565158,-0.004620635525241945
KO,2025-03-21,2025-03-25,2025-03-26,2025-04-02,0.03181583762038311,0.0020386641280882496,0.018709034186152884,0.017709034186152883,-0.003673978971630465,0.021383013157783348
KO,2025-05-01,2025-05-05,2025-05-06,2025-05-13,0.03531807607590747,0.005750962080064149,-0.03848320907597391,-0.03948320907597391,0.051245285803299456,-0.09072849487927337
KO,2025-07-16,2025-07-18,2025-07-21,2025-07-28,0.03348674846727104,0.008373200153903455,-0.02825755885391079,-0.029257558853910792,0.007084857236831166,-0.03634241609074196
KO,2025-09-08,2025-09-10,2025-09-11,2025-09-18,0.038500095657164723,0.005783731626425362,-0.009617328371538836,-0.010617328371538837,-0.001455671358116306,-0.00916165701342253
KO,2025-11-03,2025-11-05,2025-11-06,2025-11-13,0.045633360078546466,0.00794479355428541,0.02910518948206109,0.028105189482061088,0.011018999560295617,0.01708618992176547
KO,2025-12-05,2025-12-09,2025-12-10,2025-12-17,0.03594538530273028,0.0012856348114930042,0.006551626502233621,0.005551626502233621,-0.0196627563344276,0.02521438283666122
KO,2026-03-05,2026-03-09,2026-03-10,2026-03-17,0.055541934927089906,0.009996262154812217,0.0029974860664083725,0.0019974860664083724,0.0003688558975079026,0.0016286301689004698
KO,2026-03-24,2026-03-26,2026-03-27,2026-04-06,0.04047803979859993,0.0002679306649232208,0.019944562557811185,0.018944562557811184,0.02499433443392185,-0.006049771876110666
KO,2026-07-17,2026-07-21,2026-07-22,2026-07-29,0.03956669055664863,0.005027091829917134,0.0836983666705291,0.0826983666705291,-0.0034463349054031367,0.08614470157593224
KO,2026-09-01,2026-09-03,2026-09-04,2026-09-14,0.043374271804483173,0.009204584334597922,0.014533895225445015,0.013533895225445014,-0.01975543805912605,0.033289333284571065
GILD,2016-01-07,2016-01-11,2016-01-12,2016-01-20,0.070766580809616,0.0025974058767484426,-0.0674565426559316,-0.0684565426559316,-0.04694452574496211,-0.02151201691096949
GILD,2016-05-13,2016-05-17,2016-05-18,2016-05-25,0.07078648527704577,0.0007253983409362897,0.043798085175644985,0.042798085175644984,0.029972593815454696,0.012825491360190289
GILD,2016-07-29,2016-08-02,2016-08-03,2016-08-10,0.10254112076342518,0.0012585009517516626,-0.014858015482667741,-0.015858015482667742,0.0100096584412388,-0.025867673923906542
GILD,2016-08-10,2016-08-12,2016-08-15,2016-08-22,0.03533430087329226,0.009632275553651981,0.015944630862925635,0.014944630862925634,-0.0034489232542430637,0.018393554117168698
GILD,2016-10-17,2016-10-19,2016-10-20,2016-10-27,0.06907629397890505,0.009636566698130065,0.020454980346696905,0.019454980346696904,0.00317509853533271,0.016279881811364194
GILD,2017-05-19,2017-05-23,2017-05-24,2017-06-01,0.052654914528226085,0.0071617586892449335,0.004820411091602361,0.0038204110916023612,0.020606566082988165,-0.016786154991385804
GILD,2017-07-07,2017-07-11,2017-07-12,2017-07-19,0.03712472092482255,0.0014442259626516627,0.04183379264900999,0.04083379264900999,0.01139604386110915,0.02943774878790084
GILD,2017-08-04,2017-08-08,2017-08-09,2017-08-16,0.03850684024727022,0.0015033948610120712,-0.007442637044365208,-0.008442637044365209,0.008392664967405095,-0.016835302011770303
GILD,2017-10-16,2017-10-18,2017-10-19,2017-10-26,0.04274413236998683,0.0007504052115473482,-0.04547127937734008,-0.04647127937734008,0.011857152245050795,-0.058328431622390875
GILD,2017-11-06,2017-11-08,2017-11-09,2017-11-16,0.09716845298427643,0.00994767622423508,-0.008353586984927941,-0.009353586984927942,0.0032921294754277852,-0.012645716460355727
GILD,2018-03-01,2018-03-05,2018-03-06,2018-03-13,0.052431936776003975,0.005029727668962508,0.030257158567073672,0.02925715856707367,0.013720406250380845,0.015536752316692826
GILD,2018-09-07,2018-09-11,2018-09-12,2018-09-19,0.05334895338814351,0.00013866344749957177,0.006539665201834799,0.005539665201834799,0.01124244884035841,-0.005702783638523611
GILD,2018-10-11,2018-10-15,2018-10-16,2018-10-23,0.08227824069930362,0.0038617539745237255,-0.060804642666458464,-0.061804642666458465,-0.029338266247269984,-0.03246637641918848
GILD,2019-08-05,2019-08-07,2019-08-08,2019-08-15,0.06645061848398237,0.008207058281120365,-0.03008322105877037,-0.03108322105877037,-0.0247393005405655,-0.006343920518204871
GILD,2020-03-12,2020-03-16,2020-03-17,2020-03-24,0.13713993579896885,0.004666063850037445,-0.007514729095568717,-0.008514729095568718,-0.028048171440575365,0.019533442345006646
GILD,2020-05-06,2020-05-08,2020-05-11,2020-05-18,0.07773812572254118,0.00025842951749762577,-0.0747526489727266,-0.0757526489727266,-0.0003982907426037796,-0.07535435823012282
GILD,2020-08-11,2020-08-13,2020-08-14,2020-08-21,0.07635957334458163,0.0011746817496452902,-0.02919703008000396,-0.03019703008000396,-0.0011482602990781077,-0.029048769780925854
GILD,2020-08-28,2020-09-01,2020-09-02,2020-09-10,0.056254292015300925,0.008734306228482437,-0.04521637816580515,-0.04621637816580515,-0.051702496762613626,0.005486118596808476
GILD,2022-08-26,2022-08-30,2022-08-31,2022-09-08,0.059701439065376775,0.0020842589552754294,0.025681513347036056,0.024681513347036055,0.01243489992582103,0.012246613421215025
GILD,2023-03-09,2023-03-13,2023-03-14,2023-03-21,0.043494346123996074,0.007093513555469798,-0.00789786080712962,-0.00889786080712962,0.015306080072935435,-0.024203940880065056
GILD,2023-05-04,2023-05-08,2023-05-09,2023-05-16,0.0943484604585905,0.0008914375609344992,-0.006091706074802139,-0.007091706074802139,-0.010534647717083567,0.0034429416422814283
GILD,2023-06-27,2023-06-29,2023-06-30,2023-07-10,0.03784797205644064,0.0,-0.017905488737789743,-0.018905488737789744,-0.01302118019361187,-0.005884308544177874
GILD,2023-08-18,2023-08-22,2023-08-23,2023-08-30,0.05937789092071006,0.006194115696104553,0.008047668949167974,0.007047668949167974,0.017601607151780607,-0.010553938202612634
GILD,2023-09-25,2023-09-27,2023-09-28,2023-10-05,0.03270422321467285,0.009621788408737068,-0.009546630398936884,-0.010546630398936885,-0.019003675744007076,0.008457045345070191
GILD,2024-06-03,2024-06-05,2024-06-06,2024-06-13,0.06583217664697953,0.007094552184842477,-0.004541825647848996,-0.005541825647848996,0.009259051475392077,-0.014800877123241074
GILD,2025-01-08,2025-01-13,2025-01-14,2025-01-22,0.05582046459465111,0.008974717117371448,0.02241756444661558,0.021417564446615578,0.043877718656033515,-0.022460154209417937
GILD,2025-03-20,2025-03-24,2025-03-25,2025-04-01,0.09195941133171155,0.008217639543398903,0.03142094783253491,0.030420947832534906,-0.012161731171507761,0.04258267900404267
GILD,2025-08-28,2025-09-02,2025-09-03,2025-09-10,0.05427649539581335,0.0013325310964136918,0.020001776635157453,0.019001776635157452,0.025427656306217683,-0.006425879671060231
GILD,2026-03-20,2026-03-24,2026-03-25,2026-04-01,0.07115485072520078,0.006559276695346594,0.0147548508735309,0.0137548508735309,0.0009195941083988135,0.012835256765132086
GILD,2026-04-27,2026-04-29,2026-04-30,2026-05-07,0.09042355417230227,0.00853230622359441,0.02461022168134641,0.02361022168134641,0.025119348535300512,-0.0015091268539541014
GILD,2026-05-15,2026-05-19,2026-05-20,2026-05-28,0.04930311892991958,0.007099864401219817,0.04231383701033953,0.04131383701033953,0.038180047674365,0.003133789335974524
EMR,2016-06-13,2016-06-15,2016-06-16,2016-06-23,0.04069100127978415,0.00639152057952578,0.02973882622344659,0.02873882622344659,0.028184559680290322,0.0005542665431562677
EMR,2016-09-09,2016-09-13,2016-09-14,2016-09-21,0.059715464767051925,0.006881331551348521,0.009358457987591162,0.008358457987591161,0.01773247185957838,-0.009374013871987219
