stock,low_date,entry_date,exit_date,ret,ret_net,exit_reason,days_held,bench_ret,excess_ret
ABBV,2015-12-03,2015-12-09,2015-12-11,-0.035516143288586655,-0.036516143288586655,market_dd,2,-0.015053041581708948,-0.021463101706877707
ABBV,2016-09-01,2016-09-08,2016-09-09,-0.010927088380014327,-0.011927088380014328,market_dd,1,-0.024540832716140715,0.012613744336126387
ABBV,2016-10-31,2016-11-04,2016-11-11,0.12598142259478884,0.12498142259478884,hold_days,5,0.04037131909234826,0.08461010350244058
ABBV,2017-05-11,2017-05-17,2017-05-24,0.008566308938926959,0.007566308938926959,hold_days,5,0.023376220880499954,-0.015809911941572996
ABBV,2019-07-25,2019-07-31,2019-08-02,-0.01906330167226422,-0.020063301672264222,market_dd,2,-0.016022818346348444,-0.004040483325915778
ABBV,2020-10-21,2020-10-27,2020-10-28,-0.02684067647087851,-0.02784067647087851,market_dd,1,-0.031196471025191186,0.0033557945543126744
ABBV,2022-01-07,2022-01-13,2022-01-18,0.024415634319520985,0.023415634319520984,market_dd,2,-0.016701938780437908,0.04011757309995889
ABBV,2022-07-07,2022-07-13,2022-07-20,-0.02023351535854523,-0.02123351535854523,hold_days,5,0.04131052085523268,-0.06254403621377791
ABBV,2023-02-02,2023-02-08,2023-02-15,0.04460264225263577,0.04360264225263577,hold_days,5,0.0069799283443270355,0.036622713908308735
ABBV,2023-04-27,2023-05-03,2023-05-10,-0.01896123929153004,-0.019961239291530042,hold_days,5,0.007123559402103741,-0.027084798693633783
ABBV,2023-11-09,2023-11-15,2023-11-22,0.006322893229487647,0.005322893229487647,hold_days,5,0.010235411410390194,-0.004912518180902547
ABBV,2026-01-05,2026-01-09,2026-01-16,-0.018199679943858182,-0.019199679943858183,hold_days,5,0.005099375129275607,-0.02429905507313379
ABBV,2026-04-07,2026-04-13,2026-04-20,-0.005182273762951106,-0.006182273762951106,hold_days,5,0.015554938919584593,-0.0217372126825357
ACN,2016-04-22,2016-04-28,2016-05-04,-0.006822517301193209,-0.00782251730119321,market_dd,4,-0.010813605583414376,0.002991088282221166
ACN,2016-06-13,2016-06-17,2016-06-24,-0.05205420224751556,-0.05305420224751556,hold_days,5,-0.019155087519741598,-0.03389911472777396
ACN,2017-05-11,2017-05-17,2017-05-24,0.012537240501004687,0.011537240501004686,hold_days,5,0.023376220880499954,-0.011838980379495267
ACN,2021-05-27,2021-06-03,2021-06-10,0.016414461009012005,0.015414461009012004,hold_days,5,0.006804763283104531,0.008609697725907473
ACN,2023-09-15,2023-09-21,2023-09-26,-0.0044552601016095705,-0.0054552601016095706,market_dd,3,-0.014291525787889392,0.00883626568627982
ACN,2024-01-31,2024-02-06,2024-02-13,-0.00518239266832099,-0.00618239266832099,hold_days,5,-0.0023280357732550216,-0.003854356895065968
ACN,2024-03-11,2024-03-15,2024-03-22,-0.09903896378432642,-0.10003896378432642,hold_days,5,0.020786204962040422,-0.12082516874636684
ACN,2026-03-12,2026-03-18,2026-03-20,0.02480152024634341,0.02380152024634341,market_dd,2,-0.01205133059243979,0.0358528508387832
ADBE,2017-06-12,2017-06-16,2017-06-23,0.0549188009673347,0.0539188009673347,hold_days,5,0.003391061597915357,0.050527739369419344
ADBE,2020-09-18,2020-09-24,2020-10-01,0.0680821849246287,0.0670821849246287,hold_days,5,0.03947030854909306,0.027611876375535638
ADBE,2025-09-24,2025-09-30,2025-10-07,-0.01258682478074058,-0.01358682478074058,hold_days,5,0.0096025675838034,-0.02318939236454398
GOOG,2016-11-04,2016-11-10,2016-11-17,0.011369681287555222,0.010369681287555221,hold_days,5,0.014836111301074206,-0.004466430013518985
GOOG,2018-08-17,2018-08-23,2018-08-30,0.02799120511540676,0.026991205115406758,hold_days,5,0.014726267102872281,0.012264938012534476
GOOG,2019-07-19,2019-07-25,2019-08-01,0.06791679716826726,0.06691679716826726,hold_days,5,-0.01624152305966764,0.0831583202279349
GOOG,2019-09-24,2019-09-30,2019-10-01,-0.011402874809282926,-0.012402874809282927,market_dd,1,-0.013292899075445952,0.0008900242661630253
GOOG,2020-01-27,2020-01-31,2020-02-07,0.031375729257887564,0.030375729257887563,hold_days,5,0.03107524105148518,-0.0006995117935976181
GOOG,2021-02-25,2021-03-03,2021-03-04,0.011042572890450852,0.010042572890450852,market_dd,1,-0.013851656155909664,0.023894229046360516
GOOG,2023-04-19,2023-04-25,2023-05-02,0.013096130243040571,0.01209613024304057,hold_days,5,0.00408062831982936,0.00801550192321121
MO,2015-12-03,2015-12-09,2015-12-11,-0.015175499856316499,-0.0161754998563165,market_dd,2,-0.015053041581708948,-0.0011224582746075518
MO,2016-07-12,2016-07-18,2016-07-25,-0.0053490128124424885,-0.0063490128124424885,hold_days,5,0.0035377787168004993,-0.009886791529242989
MO,2016-09-09,2016-09-15,2016-09-22,0.01375511139277008,0.01275511139277008,hold_days,5,0.01951931229301529,-0.00676420090024521
MO,2017-03-31,2017-04-06,2017-04-13,-0.0016801573035915007,-0.0026801573035915007,hold_days,5,-0.012338190571804075,0.009658033268212574
MO,2017-07-11,2017-07-17,2017-07-24,-0.009949585833195496,-0.010949585833195496,hold_days,5,0.004530168149750713,-0.01547975398294621
MO,2017-08-18,2017-08-24,2017-08-31,-0.0031441498449219507,-0.004144149844921951,hold_days,5,0.014026001277957834,-0.018170151122879785
MO,2020-02-03,2020-02-07,2020-02-14,-0.022717534846523058,-0.02371753484652306,hold_days,5,0.018990585789088854,-0.04270812063561191
MO,2020-08-26,2020-09-01,2020-09-03,0.00394291142658143,0.00294291142658143,market_dd,2,-0.013174223186863454,0.016117134613444883
MO,2020-09-01,2020-09-08,2020-09-15,0.013257721718430204,0.012257721718430203,hold_days,5,0.024466296170962742,-0.012208574452532539
MO,2021-09-14,2021-09-20,2021-09-27,0.01246383394927797,0.011463833949277968,hold_days,5,0.020592287162509937,-0.009128453213231968
MO,2023-05-04,2023-05-10,2023-05-17,-0.013060633560185053,-0.014060633560185054,hold_days,5,0.006550285126694755,-0.02061091868687981
MO,2023-08-04,2023-08-10,2023-08-16,-0.02663950948495808,-0.02763950948495808,market_dd,4,-0.016366316194825536,-0.011273193290132544
MO,2025-08-27,2025-09-03,2025-09-10,-0.006003227576436898,-0.007003227576436898,hold_days,5,0.0047686948097196424,-0.011771922386156541
MO,2025-10-21,2025-10-27,2025-11-03,-0.11091943219535305,-0.11191943219535305,hold_days,5,-0.017900764274750403,-0.09401866792060265
AMZN,2017-03-21,2017-03-27,2017-04-03,0.052773928484133314,0.051773928484133314,hold_days,5,0.008208925580279969,0.043565002903853345
AMZN,2018-09-17,2018-09-21,2018-09-28,0.045947518009658905,0.044947518009658904,hold_days,5,-0.0052118750943065395,0.050159393103965444
AMZN,2019-11-15,2019-11-21,2019-11-29,0.03809863927776469,0.03709863927776469,hold_days,5,0.012612208080088338,0.02448643119767635
AMZN,2020-10-22,2020-10-28,2020-11-04,0.024781938050124186,0.023781938050124185,hold_days,5,0.051495721219945834,-0.02771378316982165
AMZN,2021-01-11,2021-01-15,2021-01-25,0.06112589788090972,0.06012589788090972,hold_days,5,0.007820205968287253,0.052305691912622465
AEP,2016-01-13,2016-01-20,2016-01-27,0.004661828461633988,0.0036618284616339878,hold_days,5,0.011941647830516544,-0.008279819368882557
AEP,2016-02-26,2016-03-03,2016-03-10,0.038206588094674254,0.03720658809467425,hold_days,5,-0.0019608585479304885,0.03916744664260474
AEP,2016-07-27,2016-08-02,2016-08-09,-0.015348278268846327,-0.016348278268846328,hold_days,5,0.011798384303320697,-0.028146662572167025
AEP,2017-01-19,2017-01-25,2017-02-01,0.008955294806689107,0.007955294806689106,hold_days,5,-0.004835206691111815,0.012790501497800921
AEP,2017-04-20,2017-04-26,2017-05-03,0.0031022037776151645,0.0021022037776151645,hold_days,5,-0.0020602981164652423,0.004162501894080407
AEP,2017-09-06,2017-09-12,2017-09-19,-0.01545626235575881,-0.01645626235575881,hold_days,5,0.011697786421112077,-0.028154048776870888
AEP,2018-01-12,2018-01-19,2018-01-26,0.014610420398594393,0.013610420398594392,hold_days,5,0.024037223629138182,-0.01042680323054379
AEP,2018-10-26,2018-11-01,2018-11-08,0.02559103795623141,0.02459103795623141,hold_days,5,0.030420859598122352,-0.005829821641890942
AEP,2019-10-02,2019-10-08,2019-10-15,-0.008859071095752569,-0.00985907109575257,hold_days,5,0.03685542393022434,-0.04671449502597691
AEP,2019-10-29,2019-11-04,2019-11-11,-0.0360912800637172,-0.0370912800637172,hold_days,5,0.00540427565634749,-0.04249555572006469
AEP,2020-05-06,2020-05-12,2020-05-13,-0.002310489224860768,-0.003310489224860768,market_dd,1,-0.018806068538070653,0.015495579313209884
AEP,2025-03-06,2025-03-12,2025-03-13,0.012431890392639255,0.011431890392639255,market_dd,1,-0.009376564000067478,0.020808454392706732
AMGN,2016-05-06,2016-05-12,2016-05-19,-0.02126422122778937,-0.02226422122778937,hold_days,5,-0.006265097762563787,-0.015999123465225584
AMGN,2016-08-25,2016-08-31,2016-09-08,0.005350997585830575,0.004350997585830575,hold_days,5,-0.00099897279176131,0.005349970377591885
AMGN,2019-12-03,2019-12-09,2019-12-16,0.044583464697228514,0.04358346469722851,hold_days,5,0.0216200853108528,0.021963379386375714
AMGN,2021-09-28,2021-10-04,2021-10-11,-0.022417579267364762,-0.023417579267364763,hold_days,5,0.013782208578685173,-0.037199787846049936
AMGN,2023-08-25,2023-08-31,2023-09-07,-0.007607009222606487,-0.008607009222606488,market_dd,4,-0.011709440987189734,0.0031024317645832467
AMGN,2025-08-06,2025-08-12,2025-08-19,0.037090198606354985,0.036090198606354984,hold_days,5,0.010709966846620178,0.025380231759734806
AAPL,2015-12-03,2015-12-09,2015-12-11,-0.021103611217735407,-0.02210361121773541,market_dd,2,-0.015053041581708948,-0.00705056963602646
AAPL,2016-05-02,2016-05-06,2016-05-13,-0.02372766634174328,-0.024727666341743282,hold_days,5,-0.0028016335290039773,-0.021926032812739304
AAPL,2017-10-19,2017-10-25,2017-11-01,0.06700325038212829,0.06600325038212829,hold_days,5,0.006920621479245437,0.05908262890288285
AAPL,2017-11-29,2017-12-05,2017-12-12,0.012142570156809862,0.011142570156809861,hold_days,5,0.012707877109866983,-0.0015653069530571218
AAPL,2020-01-27,2020-01-31,2020-02-07,0.036443339533772656,0.035443339533772655,hold_days,5,0.03107524105148518,0.004368098482287475
AAPL,2022-02-11,2022-02-17,2022-02-22,-0.02700139736464746,-0.028001397364647462,market_dd,2,-0.01491322088007585,-0.013088176484571612
AAPL,2024-02-20,2024-02-26,2024-03-04,-0.03345098305006233,-0.034450983050062334,hold_days,5,0.011477440717934995,-0.04592842376799733
AAPL,2024-10-24,2024-10-30,2024-10-31,-0.018209550353115556,-0.019209550353115556,market_dd,1,-0.006161351320770447,-0.01304819903234511
AAPL,2026-01-08,2026-01-14,2026-01-20,-0.051007769640545986,-0.05200776964054599,market_dd,3,-0.01142549565978579,-0.0405822739807602
AAPL,2026-06-01,2026-06-05,2026-06-10,-0.05127874621145456,-0.05227874621145456,market_dd,3,-0.005211306775336433,-0.04706743943611813
AMAT,2015-12-14,2015-12-18,2015-12-28,0.04972379431845164,0.04872379431845164,hold_days,5,0.02835372792435953,0.020370066394092112
AMAT,2019-09-27,2019-10-03,2019-10-10,0.02759872470825342,0.02659872470825342,hold_days,5,0.012768485990283462,0.013830238717969956
AMAT,2020-08-21,2020-08-27,2020-09-03,-0.00918927168076622,-0.010189271680766221,hold_days,5,-0.005094472061146438,-0.005094799619619783
AMAT,2023-04-19,2023-04-25,2023-05-02,0.014013071175750902,0.013013071175750901,hold_days,5,0.00408062831982936,0.00893244285592154
AMAT,2025-05-23,2025-05-30,2025-06-06,0.06373199739080881,0.06273199739080881,hold_days,5,0.01159982697205475,0.051132170418754064
ADM,2016-05-09,2016-05-13,2016-05-20,0.06697006717710074,0.06597006717710074,hold_days,5,0.008154900649545604,0.05781516652755514
ADM,2016-09-14,2016-09-20,2016-09-27,-0.006168420221121074,-0.007168420221121074,hold_days,5,0.01287867856491709,-0.020047098786038164
ADM,2018-04-24,2018-04-30,2018-05-07,-0.037241012027678044,-0.038241012027678045,hold_days,5,0.009516520299441833,-0.04775753232711988
ADM,2018-07-16,2018-07-20,2018-07-27,0.010399038356968537,0.009399038356968537,hold_days,5,0.009029055435325395,0.0003699829216431416
ADM,2022-05-02,2022-05-06,2022-05-09,-0.059845982530813524,-0.060845982530813525,market_dd,1,-0.028384871233952058,-0.03246111129686147
ADM,2023-03-10,2023-03-16,2023-03-17,-0.028900443925489072,-0.029900443925489073,market_dd,1,-0.01204768323228389,-0.017852760693205183
ADM,2023-05-18,2023-05-24,2023-06-01,-0.031571442355895374,-0.032571442355895375,hold_days,5,0.016259749039853277,-0.04883119139574865
ADM,2023-10-06,2023-10-12,2023-10-19,0.014703872758143666,0.013703872758143665,hold_days,5,-0.006589113301322169,0.020292986059465834
T,2017-01-11,2017-01-18,2017-01-25,0.014461176751839444,0.013461176751839443,hold_days,5,0.01958516088625739,-0.006123984134417948
T,2017-04-21,2017-04-27,2017-05-04,-0.0476072365545972,-0.0486072365545972,hold_days,5,-0.0034522107213994513,-0.04515502583319775
T,2017-10-13,2017-10-19,2017-10-26,-0.056318412277980845,-0.057318412277980846,hold_days,5,0.003459475794655109,-0.060777888072635955
T,2017-10-25,2017-10-31,2017-11-07,-0.017236353255904335,-0.018236353255904336,hold_days,5,0.007452205219171448,-0.025688558475075784
T,2020-05-06,2020-05-12,2020-05-13,-0.027690832371064178,-0.02869083237106418,market_dd,1,-0.018806068538070653,-0.009884763832993526
