feature,n,spearman_rho,p_value
rel_depth_5d,1152,0.12208664443026152,3.2555710106548117e-05
market_depth_20d,1151,-0.11803846122319066,5.9620217624612214e-05
market_depth_10d,1152,-0.1157639403982161,8.211573774133975e-05
rel_depth_60d,1138,0.11436411078611315,0.00011043550327008128
rel_depth_10d,1152,0.10426645325695645,0.00039299386508821245
market_depth_5d,1152,-0.10151373090728626,0.0005592027800043296
market_depth_60d,1138,-0.09506983738944993,0.0013233812614142223
rel_depth_20d,1151,0.08291782350571023,0.004879327202941863
stock_depth_60d,1138,0.05229209216111867,0.07784945913517255
stock_depth_5d,1152,0.03292628599036146,0.26414625331741665
stock_depth_10d,1152,0.023003411064049534,0.4353807104021579
stock_depth_20d,1151,0.006023983555572345,0.8382348669415832
