ticker,n_levels_baseline,n_levels_gated,n_births_blocked_by_gate
MMM,101,84,95
ABT,110,82,77
ABBV,116,88,80
ACN,110,80,91
ADBE,119,85,85
GOOG,114,83,70
MO,101,70,75
AMZN,110,80,82
AXP,110,79,84
AEP,107,88,74
AMGN,111,86,91
AAPL,105,70,71
AMAT,119,83,71
ADM,114,77,86
T,96,85,69
BAC,114,88,60
BA,116,91,94
CAT,108,74,76
CVX,108,91,69
CSCO,105,79,67
C,115,96,86
KO,113,82,86
COP,118,96,61
COST,101,78,71
DHR,109,93,70
DE,107,86,72
DOV,120,75,90
XOM,104,94,66
GS,119,85,87
HD,116,82,97
HON,101,81,88
IBM,100,80,82
JNJ,94,85,56
JPM,113,85,54
LMT,109,86,93
MCD,103,77,71
MRK,107,84,60
MSFT,120,82,78
NKE,129,98,81
DIS,103,90,84
GOOGL,116,84,71
