stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,bench_ret,excess_ret
ABT,5,0.01,2024-12-11,2024-12-18,109.97367095947266,107.84434509277344,hold_days,-0.019362142302987384,-0.020362142302987385,41,-0.03321695449879314,0.012854812195805754
ABT,5,0.01,2024-12-19,2024-12-27,108.31645202636719,110.79263305664062,hold_days,0.02286061797584238,0.021860617975842378,1,0.026954787007805736,-0.005094169031963358
ABT,5,0.01,2024-12-30,2025-01-07,108.68258666992188,109.26067352294922,hold_days,0.005319038410293242,0.004319038410293242,12,0.0061549527001036886,-0.0018359142898104466
ABT,5,0.01,2025-01-10,2025-01-17,108.21044921875,109.91152954101562,hold_days,0.015720111454549546,0.014720111454549545,23,0.026286935744508133,-0.011566824289958588
ABT,5,0.01,2025-04-10,2025-04-17,120.58500671386719,127.44884490966797,hold_days,0.05692115780270912,0.05592115780270912,2,0.013505351329235138,0.04241580647347398
ABT,5,0.01,2025-08-18,2025-08-25,127.32699584960938,128.8908233642578,hold_days,0.012281979200196691,0.01128197920019669,4,0.013197737826820655,-0.0019157586266239646
ABT,5,0.01,2025-09-10,2025-09-17,126.43754577636719,131.13888549804688,hold_days,0.03718309852355928,0.036183098523559276,27,0.021927313376343793,0.014255785147215483
ABT,5,0.01,2025-10-15,2025-10-22,127.08815002441406,125.61550903320312,hold_days,-0.011587555495363167,-0.012587555495363167,62,0.0027583881043979908,-0.015345943599761158
ABT,5,0.01,2025-11-05,2025-11-12,122.26773834228516,126.46965026855469,hold_days,0.03436648116043828,0.03336648116043828,5,0.02107630310690034,0.012290178053537937
ABT,5,0.01,2025-11-20,2025-11-28,121.70813751220703,126.54817962646484,hold_days,0.039767613022361425,0.038767613022361425,20,0.00713828593606447,0.031629327086296954
ABT,5,0.01,2025-12-05,2025-12-12,122.79788208007812,123.17095184326172,hold_days,0.0030380797849616226,0.0020380797849616225,35,0.010120608039053458,-0.008082528254091836
ABT,5,0.01,2026-01-29,2026-02-05,104.68194580078125,107.63227081298828,hold_days,0.02818370435931472,0.02718370435931472,1,0.019695335840598682,0.007488368518716038
ABT,5,0.01,2026-04-13,2026-04-20,99.35363006591797,95.32014465332031,hold_days,-0.04059726262564911,-0.04159726262564911,3,-0.017582747100281293,-0.02401451552536782
ABT,5,0.01,2026-05-06,2026-05-13,85.6888427734375,83.23633575439453,hold_days,-0.028621077606654444,-0.029621077606654445,937,0.022653154608666348,-0.05227423221532079
ABBV,5,0.01,2025-01-15,2025-01-23,163.2622528076172,162.61436462402344,hold_days,-0.003968389339556677,-0.004968389339556677,27,0.03070655997970917,-0.03567494931926585
ABBV,5,0.01,2026-01-13,2026-01-21,215.6512908935547,212.85646057128906,hold_days,-0.012959951738221509,-0.01395995173822151,8,0.001281614862423508,-0.015241566600645018
ABBV,5,0.01,2026-04-10,2026-04-17,204.7715606689453,206.9072723388672,hold_days,0.010429727951210443,0.009429727951210443,3,-0.005400040782994386,0.014829768734204829
ABBV,5,0.01,2026-08-05,2026-08-12,246.1999969482422,248.75999450683594,hold_days,0.010398040578091239,0.009398040578091238,1,0.037044365020984626,-0.02764632444289339
ABBV,5,0.01,2026-08-21,2026-08-28,264.9599914550781,255.47999572753906,hold_days,-0.03577897053618495,-0.03677897053618495,1,-0.019391434718812883,-0.01738753581737207
LMT,5,0.01,2025-01-10,2025-01-17,446.5609436035156,467.8085021972656,hold_days,0.04758042300406573,0.04658042300406573,3,0.026286935744508133,0.020293487259557597
LMT,5,0.01,2025-02-03,2025-02-10,434.5108337402344,427.64141845703125,hold_days,-0.015809537414917307,-0.016809537414917308,5,0.015954049364744094,-0.0327635867796614
LMT,5,0.01,2025-02-18,2025-02-25,408.8648986816406,427.870361328125,hold_days,0.04648347830240818,0.045483478302408176,4,0.025269800612090165,0.02021367769031801
LMT,5,0.01,2025-11-13,2025-11-20,444.3677978515625,456.4652099609375,hold_days,0.027223872134443106,0.026223872134443105,3,-0.014832206189057229,0.041056078323500333
CSCO,5,0.01,2025-01-28,2025-02-04,57.49249267578125,59.34022903442383,hold_days,0.03213874147121376,0.03113874147121376,1,0.0209416658612418,0.010197075609971962
CSCO,5,0.01,2025-03-13,2025-03-20,57.724674224853516,58.643699645996094,hold_days,0.01592084205729294,0.014920842057292938,45,0.012523225944875094,0.002397616112417844
CSCO,5,0.01,2025-06-02,2025-06-03,62.180789947509766,62.677459716796875,resistance,0.007987511411585047,0.0069875114115850465,3,0.005130235879164058,0.0018572755324209886
