feature,n,spearman_rho,p_value
rel_mom_5d,1152,-0.12209541981041913,3.2512895728440086e-05
market_mom_10d,1152,0.09161427948234782,0.0018540704678059192
market_mom_5d,1152,0.07912328505248027,0.007213340997908527
stock_mom_5d,1152,-0.06118687974231591,0.03785302082180326
rel_mom_10d,1152,-0.05852389722827342,0.04704300678732522
market_mom_20d,1151,0.0577096830038296,0.050302180097797994
rel_mom_20d,1151,-0.05449282445006862,0.06458652317356077
rel_mom_60d,1138,-0.033231012800089325,0.26267078503195435
market_mom_60d,1138,0.023911010851263622,0.4203299738244555
stock_mom_20d,1151,-0.01704344993011748,0.5635096073012056
stock_mom_10d,1152,0.0074407298987880805,0.8008276821134607
stock_mom_60d,1138,-0.002482553907286441,0.9333305766212374
