stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,vix_level,vix_chg_5d,vix_chg_10d,vix_ratio_5_60,clv_entry,clv_prev_day,range_ratio_entry
TSLA,5,0.01,2015-07-09,2015-07-16,17.19466781616211,17.778667449951172,hold_days,0.03396399628262281,0.03296399628262281,1,2015-07-08,0.03550596350571089,-0.002541967223088082,19.65999984741211,0.07844214706987085,0.6234517262411252,1.159837491100723,0.1834441822876995,0.1001534107440421,0.9827029209204138
TSLA,5,0.01,2015-12-14,2015-12-21,14.571999549865724,15.503999710083008,hold_days,0.0639582891166004,0.0629582891166004,3,2015-12-11,0.008552232273392857,0.05440605684320754,24.389999389648438,0.6468601417014463,0.613095209937337,1.0885470928268361,0.6132222025181797,0.041712531503453464,0.9387093390645319
TSLA,5,0.01,2016-09-13,2016-09-20,13.06999969482422,13.642666816711426,hold_days,0.04381538907869942,0.04281538907869942,4,2016-09-09,0.013719911963714582,0.029095477114984836,15.15999984741211,0.26544243962317915,0.11062273048212878,0.9896213587705583,0.5158718445058834,0.5777167357652628,0.8727683522784629
TSLA,5,0.01,2017-09-29,2017-10-06,22.739999771118164,23.79199981689453,hold_days,0.04626209570646078,0.04526209570646078,1,2017-09-28,0.014510835842070025,0.030751259864390756,9.550000190734863,-0.01240950202816049,-0.08524898710922757,0.9011540472827925,0.4111834210934963,0.5714263471142684,0.5809301360944735
TSLA,5,0.01,2018-10-11,2018-10-18,16.815332412719727,17.5939998626709,hold_days,0.046306991193475255,0.045306991193475254,3,2018-10-08,0.017089389509644004,0.02821760168383125,22.959999084472656,0.977605492112801,0.7812256379315257,1.2857966198490307,0.24205699099492936,0.5135293795096588,0.9735093072157998
TSLA,5,0.01,2019-05-16,2019-05-23,15.222000122070312,13.03266716003418,hold_days,-0.1438268916357337,-0.1448268916357337,3,2019-05-13,-0.019026863522189075,-0.12580002811354463,16.440000534057617,-0.1525772753956839,0.11081083258022062,1.2525664109302979,0.4066668362091974,0.9318487038838719,0.5621436674590613
TSLA,5,0.01,2019-11-27,2019-12-05,22.086000442504883,22.024667739868164,hold_days,-0.0027769945398843365,-0.0037769945398843366,1,2019-11-26,-0.011556339921107273,0.007779345381222936,11.539999961853027,-0.10264383593034088,-0.08990538768815515,0.8472204732005193,0.507464837599077,0.21666479337604574,0.5968372325433158
TSLA,5,0.01,2021-07-27,2021-08-03,214.9266662597656,236.5800018310547,hold_days,0.10074755240058653,0.09974755240058653,4,2021-07-23,0.013467438636016293,0.08628011376457023,17.579999923706055,-0.21866667005750873,0.08719850592204037,0.9985132991232091,0.4467648732347048,0.4983395482703085,1.9134303461570799
TSLA,5,0.01,2021-09-21,2021-09-28,246.4600067138672,259.1866760253906,hold_days,0.05163786807122306,0.05063786807122306,1,2021-09-20,0.0011785602114393612,0.0494593078597837,25.709999084472656,0.32731016884613484,0.5667275638961797,1.1595155810775741,0.6251756623952813,0.49401265604686495,0.7167569737436493
TSLA,5,0.01,2022-09-06,2022-09-13,274.4200134277344,292.1300048828125,hold_days,0.06453607823228924,0.06353607823228924,4,2022-09-02,0.010420619648967788,0.05311545858332145,25.469999313354492,-0.003521132803927185,0.23640771076225153,1.0344565342786938,0.8468315310594512,0.08515472642307834,0.9907200216530332
TSLA,5,0.01,2023-05-16,2023-05-23,166.52000427246094,185.77000427246097,hold_days,0.11560172655594614,0.11460172655594614,1,2023-05-15,0.007070882417326452,0.10753084413861969,17.1200008392334,0.008245070716805802,0.0646766741580711,0.8731698730808257,0.41972900144914277,0.34549059576736313,0.8645212197444092
TSLA,5,0.01,2024-09-17,2024-09-24,227.8699951171875,254.27000427246097,hold_days,0.115855574322967,0.114855574322967,1,2024-09-16,0.010077682965987211,0.10477789135697979,17.139999389648438,-0.11876613278558601,0.14266662597656254,1.0389271206173714,0.16458745165040267,0.5054426111244266,0.7488429486768566
TSLA,5,0.01,2026-04-09,2026-04-16,345.6199951171875,388.8999938964844,hold_days,0.12522423294584617,0.12422423294584617,1,2026-04-08,0.01492817340886976,0.10929605953697641,21.040000915527344,-0.16673263700881802,-0.21929497885355542,1.1197949473824966,0.7196897337125944,0.14417996408682582,0.8728359112537999
META,5,0.01,2015-08-25,2015-09-01,82.27747344970703,86.47064971923828,hold_days,0.05096384336709581,0.049963843367095806,1,2015-08-24,0.021342038534956975,0.02862180483213883,40.7400016784668,2.1290322769669348,2.3311531646236876,1.5727894383050463,0.0,1.0,1.6173272879339904
META,5,0.01,2016-03-08,2016-03-15,105.00787353515624,109.70661926269533,hold_days,0.04474660393885577,0.043746603938855766,1,2016-03-07,0.018450461631677406,0.02529614230717836,17.350000381469727,-0.15571771164934334,-0.10474710357090522,0.7995024718989109,0.5151508924075915,0.3014933123202275,1.2213180880098289
META,5,0.01,2016-04-15,2016-04-22,108.6855697631836,109.5975570678711,hold_days,0.008391061542711187,0.007391061542711187,4,2016-04-11,0.015352871824078074,-0.007961810281366888,13.720000267028809,-0.15099007446921764,-0.016487422607960878,0.7827374203232939,0.24858834989956904,0.32583966259194375,0.6667157531527673
META,5,0.01,2016-09-29,2016-10-06,126.9749526977539,127.61930847167967,hold_days,0.005074668351793488,0.004074668351793488,3,2016-09-26,0.005053118967080827,-0.0009784506152873398,12.390000343322754,-0.06842104017758133,-0.31697900991148387,0.9775626982081925,0.31034271081802206,0.7756973361474018,1.3122723153593416
META,5,0.01,2017-07-06,2017-07-13,147.52452087402344,157.8736114501953,hold_days,0.07015166370212689,0.06915166370212689,3,2017-07-03,0.01484899561398123,0.054302668088145656,11.069999694824219,0.0009040935649318182,0.01933702069850929,0.9697718460699599,0.40196569753090117,0.8124964938459974,0.7241862197008204
META,5,0.01,2017-08-29,2017-09-06,166.58714294433594,170.59193420410156,hold_days,0.024040218164398164,0.023040218164398163,4,2017-08-25,0.011345037804904257,0.011695180359493906,11.319999694824219,-0.14177406710006435,-0.08191404988900097,1.0641694908419974,0.8892156164919865,0.664238617125547,1.588105584724998
META,5,0.01,2017-12-05,2017-12-12,171.3254852294922,175.41952514648438,hold_days,0.023896269206581833,0.022896269206581832,1,2017-12-04,0.010942989371682366,0.011953279834899466,11.680000305175781,0.18338403653529256,0.021872265382774758,1.0697373527839111,0.5996862012384253,0.11764814585043766,1.9012077216839935
META,5,0.01,2017-12-27,2018-01-04,176.0737762451172,182.7253875732422,hold_days,0.037777410526284694,0.03677741052628469,1,2017-12-26,0.01932793032196356,0.017449480204321133,10.25,0.07555092205698655,0.09743038892349154,0.9620048160622525,0.6238512203487101,0.5665263033811607,1.0709414734743785
META,5,0.01,2018-03-28,2018-04-05,151.6978759765625,157.9529266357422,hold_days,0.041233607385156246,0.040233607385156245,1,2018-03-27,0.02510674327185436,0.015126864113301886,22.5,0.23626368443987156,0.3761467568832828,1.2808227424208316,0.4389753786911691,0.12148764290920586,0.7803844951693849
META,5,0.01,2019-03-19,2019-03-26,160.16354370117188,166.22030639648438,hold_days,0.03781611317624822,0.03681611317624822,1,2019-03-18,-0.002181457703184231,0.03899757087943245,13.100000381469727,-0.08583388337647824,-0.10457961182522246,0.7225624748833609,0.2500000000000048,0.25757655824768144,0.8878444824387894
META,5,0.01,2020-01-15,2020-01-23,219.2248382568359,217.84695434570312,hold_days,-0.0062852545454658015,-0.0072852545454658016,1,2020-01-14,0.021340049830789853,-0.028625304376255656,12.390000343322754,-0.10152281525765494,-0.16396757095414283,0.9588601638885621,0.6558434481050188,0.11466471354165715,0.4553934207484254
META,5,0.01,2020-07-14,2020-07-21,237.64309692382812,239.64553833007812,hold_days,0.008426255305416408,0.007426255305416408,1,2020-07-13,0.0259088555045075,-0.018482600199091093,32.189998626708984,0.15211159668629248,-0.07313564494691005,0.91789662635929,0.927710134589826,0.049446039412696936,0.8684457253269933
META,5,0.01,2021-05-13,2021-05-20,302.6026611328125,315.8364562988281,hold_days,0.04373324119647215,0.04273324119647215,1,2021-05-12,0.011861187690919817,0.030872053505552333,27.59000015258789,0.4407311071636131,0.5966434639039253,1.0246061527616095,0.40887064848639715,0.6440166066381479,0.8676024572466111
META,5,0.01,2021-06-21,2021-06-28,329.3973693847656,352.54412841796875,hold_days,0.07027001787062126,0.06927001787062126,3,2021-06-18,0.01553715157488611,0.05373286629573515,20.700000762939453,0.3226837870609123,0.26065777507666854,0.9798339948670476,0.8804549244880883,0.09230828328872923,0.7940650067127314
META,5,0.01,2021-09-03,2021-09-13,372.9845886230469,373.23248291015625,hold_days,0.00066462340448048,-0.00033537659551952006,1,2021-09-02,-0.013145909986817639,0.012810533391298118,16.40999984741211,-0.12898090687340003,-0.24273189710949983,0.9426400737006134,0.7777802895012482,0.15864770265014866,0.5882463799102993
META,5,0.01,2021-10-14,2021-10-21,325.6701354980469,338.9039001464844,hold_days,0.040635487279787386,0.039635487279787385,2,2021-10-12,0.028067218163589036,0.011568269116198349,18.639999389648438,-0.1123809814453125,-0.17375887274340407,1.0298055064685694,0.4181286027876348,0.4331812140943455,0.4716785417957512
META,5,0.01,2022-08-01,2022-08-08,158.53781127929688,168.76795959472656,hold_days,0.06452812886010628,0.06352812886010628,3,2022-07-29,0.00847006845088183,0.05505806040922445,21.329999923706055,-0.07381679167405497,-0.1196863257663362,0.838928625350783,0.4718869257084389,0.7907458690753261,1.5836704139246203
META,5,0.01,2023-04-26,2023-05-03,207.5771484375,234.96664428710935,hold_days,0.1319485119425663,0.1309485119425663,1,2023-04-25,0.005763102959939426,0.12518540898262687,18.760000228881836,0.11467619215239933,-0.017801054753786794,0.8567659198682174,0.09942436681808912,0.10169472739161642,1.2852404227736314
META,5,0.01,2023-06-08,2023-06-15,262.2767639160156,279.37664794921875,hold_days,0.06519786113679027,0.06419786113679027,1,2023-06-07,0.03283571899198945,0.03136214214480082,13.9399995803833,-0.22296548687836681,-0.24770647254051104,0.7896632901748438,0.6499417137886034,0.06987052031748878,1.2286459251514528
META,5,0.01,2023-09-22,2023-09-29,296.4764709472656,297.5966491699219,hold_days,0.0037783039547023556,0.0027783039547023556,1,2023-09-21,-0.009772980865993652,0.012551284820696007,17.540000915527344,0.36817483097200987,0.21805565140129857,1.013797337615006,0.11392345298543426,0.3519334290915946,0.9054857531394352
META,5,0.01,2023-11-17,2023-11-27,332.1234436035156,331.78643798828125,hold_days,-0.0010146998705597987,-0.0020146998705597987,2,2023-11-15,0.005209165448382791,-0.00722386531894259,14.319999694824219,-0.06344017458789142,-0.08556833752519688,0.8689161296677322,0.9252045672206123,0.9524408534520279,0.9391597764236284
