run_date,as_of,ticker,price,price_estimated,event,low_date,pct1,vr_L,vr_L1,vr_L2,entry_date,entry_price,exit_price,ret,days_held
2026-09-22,2026-09-21,MMM,164.97,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ABT,102.98,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ABBV,264.48,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ACN,186.11,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ADBE,249.52,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,GOOG,350.87,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,MO,68.53,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AMZN,258.45,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AXP,313.59,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AEP,120.03,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AMGN,393.16,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AAPL,338.98,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,AMAT,464.24,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ADM,83.38,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,T,25.45,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,BAC,57.96,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,BA,201.15,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,CAT,816.5,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,CVX,203.67,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,CSCO,111.46,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,C,135.05,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,KO,87.12,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,COP,127.53,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,COST,898.48,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,DHR,215.84,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,DE,684.73,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,DOV,186.09,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,XOM,158.3,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,GS,959.39,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,HD,297.2,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,HON,206.48,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,IBM,231.93,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,JNJ,269.47,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,JPM,352.04,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,LMT,535.4,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,MCD,247.88,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,MRK,149.5,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,MSFT,501.61,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,NKE,36.1,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,DIS,104.23,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,GOOGL,354.97,False,watch,,,,,,,,,,
